Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1149-1","Town","Special",2002,"Air Police",,24,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.5000,7.1200,"",""
"1359-1","Promotional","LEGOLAND",2002,"Audi TT Roadster ",,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1374-1","Studios","Spider-Man",2002,"Green Goblin",2,58,4.99,7,,,,673419012478,14.4,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,145.0000,54.0100,"23/04/2002","31/12/2003"
"1375-1","Studios","Spider-Man",2002,"Wrestling Scene",,,14.99,24,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1376-1","Studios","Spider-Man",2002,"Spider-Man Action Studio",5,248,24.99,30,,,,673419010382,28.8,28.8,6,,"",0,0,0,,0,0,,,,,,,,,130.7800,49.4700,"01/04/2002","30/06/2003"
"1380-1","Studios","Horror",2002,"Werewolf Ambush",3,117,7.99,10,,,5702014151963,,19.2,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,36.4600,26.8200,"01/06/2002","31/12/2003"
"1381-1","Studios","Horror",2002,"Vampire's Crypt",4,176,14.99,20,,,5702014151970,673419010436,28.8,19.2,7.2,,"",0,0,0,,0,0,,,,,,,,,128.8100,62.8300,"01/06/2002","31/12/2003"
"1382-1","Studios","Horror",2002,"Scary Laboratory",6,493,39.99,50,,,5702014151987,,38.4,28.8,6,,"",0,0,0,,0,0,,,,,,,,,219.9500,75.7300,"01/06/2002","31/12/2003"
"1383-1","Studios","Horror",2002,"Curse of the Pharaoh",2,50,2.99,4,,,,673419012492,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,29.4700,20.3500,"01/06/2002","31/12/2003"
"1384-1","Explore","Imagination",2002,"Bird",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4900,,"",""
"1425-1","Alpha Team","Mission Deep Sea",2002,"Alpha Team Jet Sub",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.5700,,"",""
"1426-1","Alpha Team","Mission Deep Sea",2002,"Alpha Team Wing Diver",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,,"",""
"1427-1","Alpha Team","Mission Deep Sea",2002,"Ogel Underwater Slizer",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.2600,,"",""
"1428-1","Sports","Football",2002,"Kick 'n' Score",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.0000,3.2200,"",""
