Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"215-3","Samsonite","Supplemental",1961,"2 X 8 Bricks",,9,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"216-2","Samsonite","Supplemental",1961,"2 X 10 Bricks",,8,,,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"217-3","Samsonite","Supplemental",1961,"4 x 4 Corner Bricks",,10,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"218-3","Samsonite","Supplemental",1961,"2 x 4 Bricks",,20,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"219-2","Samsonite","Supplemental",1961,"2 X 3 Bricks",,24,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"220-2","Samsonite","Supplemental",1961,"2 X 2 Bricks",,33,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"221-3","Samsonite","Supplemental",1961,"1 X 2 Bricks",,45,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"222-3","Samsonite","Supplemental",1961,"1 x 1 Bricks",,40,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"223-3","Samsonite","Supplemental",1961,"1 x 1 Round Bricks",,62,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"224-2","Samsonite","Supplemental",1961,"Bricks Curved",,33,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"226-3","Samsonite","Supplemental",1961,"1 X 8 & 1 X 6 Named Beams",,10,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"228-2","Samsonite","Supplemental",1961,"4 X 8 Plates",,10,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"230-3","Samsonite","Supplemental",1961,"Trees and Bushes",,12,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"231-3","Samsonite","Supplemental",1961,"Esso Stations (Pumps and Sign)",,2,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"232-3","Samsonite","Supplemental",1961,"Road Signs",,15,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"233-2","Samsonite","Supplemental",1961,"Street Lamps",,9,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"234-2","Samsonite","Supplemental",1961,"Lettered Bricks",,35,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"235-3","Samsonite","Supplemental",1961,"Garage Plate and Door (White Base and Door Frame)",,3,,0.5,,,,,8.9,14.2875,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"237-2","Samsonite","Supplemental",1961,"Numbered Bricks",,35,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"242-3","Samsonite","Supplemental",1961,"International Flags",,7,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"245-3","Samsonite","Supplemental",1961,"Lighting Device Pack",,3,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"246-1","Samsonite","Town Plan",1961,"LEGO Town Plan Board",,1,,1.5,,,,,80,50.8,0.635,,"",0,0,0,,0,0,,,,,,,,,,75.0000,"",""
"262-1","System","HO 1:87 Vehicles",1961,"1:87 Opel Rekord with Garage",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,69.9900,"",""
"263-2","System","HO 1:87 Vehicles",1961,"1:87 Ford Taunus 17M de Luxe with Garage",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"264-2","System","HO 1:87 Vehicles",1961,"1:87 Mercedes 220 with Garage",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,59.9900,"",""
"265-2","System","HO 1:87 Vehicles",1961,"1:87 Karmann Ghia with Garage",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,277.7300,,"",""
"311-4","System","Vehicle",1961,"Airplanes",,79,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"312-4","System","Vehicle",1961,"Boats",,107,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,22.4600,"",""
"400-2","Samsonite","Supplemental",1961,"Small Wheels with Axles ",,12,,0.75,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"518-2","Samsonite","Supplemental",1961,"2 X 4 Plate (Flat Roof Bricks with 8 Studs)",,24,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"519-3","Samsonite","Supplemental",1961,"2 X 3 Plate (Flat Roof Bricks with 6 Studs)",,30,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"520-4","Samsonite","Supplemental",1961,"2 X 2 Plate (Flat Roof Bricks with 4 Studs)",,40,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700-3","Samsonite","Supplemental",1961,"10 X 20 Large Base Plate ",,2,,0.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"702-2","Samsonite","Basic Set",1961,"Small Basic Set",,109,,1.95,,,,,7.62,15.24,7.62,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"703-2","Samsonite","Basic Set",1961,"Small Basic Set",,,,2.95,,,,,7.62,24.13,7.62,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"705-2","Samsonite","Basic Set",1961,"Small Basic Set (Flat Box)",,,,4.95,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"708-2","Samsonite","Basic Set",1961,"Medium Basic Set (Flat Box)",,,,7.95,,,,,48.26,3.175,29.5275,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"711-2","Samsonite","Basic Set",1961,"Large Basic Set (Flat Box)",,,,10.95,,,,,52.7,3.4925,40.64,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"717-1","Samsonite","Basic Set",1961,"Junior Constructor",,510,,16.95,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"725-3","Samsonite","Town Plan",1961,"Town Plan",,711,,25,,,,,52.07,41.91,7.62,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"810-2","System","Town Plan",1961,"Town Plan - Continental European",,760,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,1835.4500,"",""
"214_1-1","System","Supplemental",1961,"1 x 6 x 3 Window with Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_1-2","Samsonite","Supplemental",1961,"1 x 6 x 3 Window with Frame",,6,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_10-1","System","Supplemental",1961,"1 x 2 x 4 Glass Door in Frame, Left",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_10-2","Samsonite","Supplemental",1961,"1 x 2 x 4 Glass Door in Frame",,13,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_2-1","System","Supplemental",1961,"1 x 6 x 2 Triple-Pane Window in Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_2-2","Samsonite","Supplemental",1961,"1 x 6 x 2 Triple-Pane Window in Frame",,8,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_3-1","System","Supplemental",1961,"1 x 6 x 2 Double-Pane Window in Frame w/Shutters",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_3-2","Samsonite","Supplemental",1961,"1 x 6 x 2 Double-Pane Window in Frame w/Shutters",,8,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_4-1","System","Supplemental",1961,"1 x 4 x 2 Window in Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_4-2","Samsonite","Supplemental",1961,"1 x 4 x 2 Window in Frame",,9,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_5-1","System","Supplemental",1961,"1 x 3 x 2 Window in Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_5-2","Samsonite","Supplemental",1961,"1 x 3 x 2 Window in Frame",,12,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_6-1","System","Supplemental",1961,"1 x 2 x 2 Window in Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_6-2","Samsonite","Supplemental",1961,"1 x 2 x 2 Window in Frame",,15,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_7-1","System","Supplemental",1961,"1 x 1 x 2 Window Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_7-2","Samsonite","Supplemental",1961,"1 x 1 x 2 Window Frame",,19,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_8-1","System","Supplemental",1961,"1 x 2 x 1 Window Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_8-2","Samsonite","Supplemental",1961,"1 x 2 x 1 Window Frame",,19,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_9-1","System","Supplemental",1961,"1 x 1 x 1 Window Frame",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"214_9-2","Samsonite","Supplemental",1961,"1 x 1 x 1 Window Frame",,20,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"225_A-1","Samsonite","Supplemental",1961,"1 x 6 Beams",,13,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"225_B-1","Samsonite","Supplemental",1961,"1 x 8 Beams",,12,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"227_L-1","Samsonite","Supplemental",1961,"4 x 8 Left Curve Plates",,10,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"227_R-1","Samsonite","Supplemental",1961,"4 x 8 Right Curve Plates",,10,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
