Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"4962-2","Duplo","Zoo",2014,"Baby Zoo",1,18,,,,,,673419215824,,,,,"",0,0,0,,0,0,,,,,,,,,17.7200,11.0000,"",""
"10241-1","Creator Expert","Maersk",2014,"Maersk Line Triple-E",,1518,109.99,149.99,179.99,129.99,5702015122450,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,282.8300,159.9700,"01/01/2014","31/12/2014"
"10242-1","Creator Expert","Vehicles",2014,"MINI Cooper MK VII",,1077,79.99,99.99,119.99,89.99,5702015122467,,37.5,35,9,1.32,"",0,0,0,,0,0,,,,,,,,,214.2100,103.1500,"01/08/2014","31/08/2015"
"10243-1","Creator Expert","Modular Buildings Collection",2014,"Parisian Restaurant",5,2469,142.99,159.99,189.99,149.99,5702015122672,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,314.6100,254.6600,"01/01/2014","31/12/2019"
"10244-1","Creator Expert","Fairground Collection",2014,"Fairground Mixer",12,1746,119.99,149.99,179.99,129.99,5702015122689,,57.8,37.4,8.3,,"",0,0,0,,0,0,,,,,,,,,206.6600,164.5700,"01/06/2014","31/12/2016"
"10245-1","Creator Expert","Winter Village Collection",2014,"Santa's Workshop",6,883,59.99,69.99,89.99,69.99,5702015122696,,48,28,6,0.99,"",0,0,0,,0,0,,,,,,,,,202.7200,157.8600,"01/10/2014","31/12/2016"
"10521-1","Duplo","",2014,"Baby Calf",1,9,5.99,6.99,8.99,6.99,5702015125079,673419211468,14.097,12.192,6.096,0.11,"",0,0,0,,0,0,,,,,,,,,7.8800,8.7400,"",""
"10522-1","Duplo","",2014,"Farm Animals",,12,8.99,9.99,12.99,9.99,5702015125086,673419211475,19.1008,14.097,9.0932,0.2,"",0,0,0,,0,0,,,,,,,,,18.2200,5.6600,"",""
"10524-1","Duplo","",2014,"Farm Tractor",1,29,16.99,19.99,24.99,19.99,5702015125093,,26.1874,19.1008,11.811,0.54,"",0,0,0,,0,0,,,,,,,,,26.7300,11.8000,"01/01/2014","31/12/2017"
"10525-1","Duplo","",2014,"Big Farm",2,121,54.99,59.99,59.99,59.99,5702015125109,673419211499,48.006,37.7952,11.2014,1.855191,"",0,0,0,,0,0,,,,,,,,,67.2200,69.9900,"01/01/2014","31/12/2017"
"10526-1","Duplo","Jake and the Never Land Pirates",2014,"Peter Pan's Visit",2,39,19.99,29.99,29.99,29.99,5702015125048,673419211444,35.4076,19.1008,9.0932,0.59,"",0,0,0,,0,0,,,,,,,,,34.0000,24.9500,"01/06/2014","31/12/2015"
"10527-1","Duplo","",2014,"Ambulance",1,14,12.99,14.99,17.99,14.99,5702015125116,673419211505,20.4978,19.1008,9.1948,0.36,"",0,0,0,,0,0,,,,,,,,,25.0000,19.1600,"",""
"10528-1","Duplo","",2014,"School Bus",3,26,17.99,19.99,19.99,19.99,5702015125123,673419211512,26.1874,19.1008,11.811,0.5,"",0,0,0,,0,0,,,,,,,,,13.2900,20.7300,"01/06/2014","31/12/2015"
"10529-1","Duplo","",2014,"Truck",1,16,12.99,14.99,17.99,14.99,5702015125130,673419211529,20.4978,19.1008,9.1948,0.38,"",0,0,0,,0,0,,,,,,,,,25.2000,11.6900,"",""
"10532-1","Duplo","",2014,"My First Police Set",2,39,19.99,24.99,24.99,24.99,5702015125147,673419211536,35.4076,19.1008,11.811,0.69,"",0,0,0,,0,0,,,,,,,,,46.3700,12.0000,"01/01/2014","31/12/2015"
"10538-1","Duplo","Planes",2014,"Fire and Rescue Team",3,30,25.99,29.99,29.99,29.99,5702015125284,673419211659,35.4076,19.1008,11.811,0.56,"",0,0,0,,0,0,,,,,,,,,67.6400,52.7000,"01/06/2014","31/12/2015"
"10539-1","Duplo","Jake and the Never Land Pirates",2014,"Beach Racing",1,37,19.99,24.99,24.99,24.99,5702015125062,673419211451,35.4076,19.1008,9.0932,0.5,"",0,0,0,,0,0,,,,,,,,,40.0000,17.0000,"01/06/2014","31/12/2015"
"10542-1","Duplo","Disney Princess",2014,"Sleeping Beauty's Fairy Tale",2,55,29.99,34.99,39.99,34.99,5702015125291,673419211666,38.2016,26.1874,9.398,0.75,"",0,0,0,,0,0,,,,,,,,,55.5500,21.4700,"01/01/2014","31/12/2015"
"10543-1","Duplo","Superman",2014,"Superman Rescue",1,19,14.99,19.99,19.99,19.99,5702015125178,673419211321,26.1874,14.097,9.0932,0.31,"",0,0,0,,0,0,,,,,,,,,40.0000,12.5400,"",""
