Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1086-1","Duplo","",2000,"Bulk Bucket",,48,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1177-1","Town","Special",2000,"Santa's Truck",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,86.4400,,"",""
"1196-1","Town","Telekom",2000,"Telekom Race Cyclist",1,7,,,,,5702012012303,,,,,,"",0,0,0,,0,0,,,,,,,,,21.2400,9.7700,"",""
"1197-1","Town","Telekom",2000,"Telekom Race Cyclist and Television Motorbike",3,26,,,,,5702012012310,,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,47.5500,16.3800,"16/06/2000","31/12/2000"
"1198-1","Town","Telekom",2000,"Telekom Race Cyclists and Service Crew",3,81,,,,,5702012012327,,24,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,47.5900,32.9000,"16/06/2000","31/12/2000"
"1199-1","Town","Telekom",2000,"Telekom Race Cyclists and Winners' Podium",8,129,,,,,5702012012334,,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,68.0000,85.8100,"16/06/2000","31/12/2000"
"1261-1","Duplo","Little Forest Friends",2000,"Tea With Bumble Bee",2,10,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.4900,20.0200,"",""
"1263-1","Seasonal","Easter",2000,"Easter Bunny",,27,,3,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,4.3200,3.1600,"01/01/2000","31/12/2002"
"1264-1","Seasonal","Easter",2000,"Easter Chicks",,26,,,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,5.0400,3.3300,"01/01/2000","31/12/2001"
"1272-1","Town","Race",2000,"Blue Racer",1,23,,3.95,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,9.5000,2.7300,"01/04/2000","31/12/2000"
"1273-1","Town","Race",2000,"Red Four Wheel Driver",1,20,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,6.9900,,"01/04/2000","31/12/2000"
"1278-1","Adventurers","Dino Island",2000,"Jones and Baby Tyranno",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.6800,14.5000,"",""
"1279-1","Adventurers","Dino Island",2000,"Cunningham's Dinofinder",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,15.0000,"",""
"1280-1","Adventurers","Dino Island",2000,"Dr. Kilroy's Microcopter",1,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.6800,11.4300,"",""
"1281-1","Adventurers","Dino Island",2000,"Mike's Dinohunter",1,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.2500,10.7300,"",""
"1282-1","Town","Race",2000,"Blue Racer",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.9700,9.0000,"",""
"1283-1","Town","Race",2000,"Red Four Wheel Driver",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.1500,7.0000,"",""
"1284-1","Town","Race",2000,"Green Buggy",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.0600,,"",""
"1285-1","Town","Race",2000,"Yellow Tiger",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.7300,4.7200,"",""
"1286-1","Castle","Knights' Kingdom I",2000,"King Leo's Spear Cart",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.1500,15.5400,"",""
"1287-1","Castle","Knights' Kingdom I",2000,"Richard's Arrowseat",1,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,53.3800,10.1100,"",""
"1288-1","Castle","Knights' Kingdom I",2000,"Bull's Fire Attacker",1,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,53.3800,15.2700,"",""
"1289-1","Castle","Knights' Kingdom I",2000,"Weezil's Stone Bomber",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,33.0000,17.3500,"",""
"1290-1","Technic","Robo Riders",2000,"Lava Buggy",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.4400,,"",""
"1291-1","Technic","Robo Riders",2000,"Power Bike",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.5200,,"",""
"1292-1","Technic","Robo Riders",2000,"Frost Flyer",,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.9500,3.8900,"",""
"1293-1","Technic","Robo Riders",2000,"Swamp Craft",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.2600,,"",""
"1294-1","Town","City",2000,"Fire Helicopter",1,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,32.2000,12.5000,"",""
"1295-1","Town","City",2000,"Water Rider",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.3900,3.7300,"",""
"1296-1","Town","City",2000,"Land Scooper",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,32.1700,3.5000,"",""
"1297-1","Town","City",2000,"Speed Patroller",1,34,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.1300,10.0000,"",""
"1349-1","Studios","",2000,"Steven Spielberg Moviemaker Set",7,442,,180,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,291.2300,196.0800,"",""
"1450-1","Duplo","",2000,"DUPLO Bucket",,50,,,,,5702012014376,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1515-1","Gear","Pens",2000,"Classic Pen Series 1",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1516-2","Gear","Pens",2000,"Decoder Pen Series 1",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1517-2","Gear","Pens",2000,"Hieroglyph Pen Series 1",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
