Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8389-1","Racers","Ferrari",2004,"M. Schumacher and R. Barrichello",2,34,4.99,7,,,5702014394971,,14.4,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,54.1600,29.0600,"01/04/2004","31/12/2005"
"8433-1","Technic","",2004,"Cool Movers",,215,9.99,13,,,,673419034005,28.8,19.2,6,0.35,"",0,0,0,,0,0,,,,,,,,,26.7800,12.0100,"01/08/2004","31/12/2005"
"8434-1","Technic","",2004,"Aircraft",,445,24.99,35,,,,673419034012,38.4,28.8,6,0.77,"",0,0,0,,0,0,,,,,,,,,101.9700,30.5000,"01/08/2004","31/07/2005"
"8435-1","Technic","",2004,"4WD",,763,34.99,45,,,,673419034029,48,28.8,9.6,1.52,"",0,0,0,,0,0,,,,,,,,,146.6900,53.5300,"01/08/2004","31/12/2005"
"8436-1","Technic","",2004,"Truck",,1027,59.99,90,,,,673419034036,48,38.4,11.4,2.37,"",0,0,0,,0,0,,,,,,,,,212.0000,64.1500,"01/08/2004","30/09/2006"
"8439-1","Technic","",2004,"Front End Loader",,582,,70,,,5702010984398,,48,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,262.5300,89.7700,"01/09/2004","31/12/2004"
"8601-1","Bionicle","Toa Metru",2004,"Toa Vakama",,48,5.99,8,,,5702014362406,673419033244,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,81.3800,19.9700,"01/03/2004","31/12/2004"
"8601-2","Bionicle","Promotional",2004,"Toa Vakama (SDCC 2004 exclusive)",,48,,,,,,,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,,,"01/03/2004","31/12/2004"
"8602-1","Bionicle","Toa Metru",2004,"Toa Nokama",,46,5.99,8,,,5702014362413,673419033251,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,95.5300,15.4700,"01/03/2004","31/12/2004"
"8603-1","Bionicle","Toa Metru",2004,"Toa Whenua",,49,5.99,8,,,,673419033268,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,87.3000,18.4200,"01/03/2004","31/12/2004"
"8604-1","Bionicle","Toa Metru",2004,"Toa Onewa",,44,5.99,8,,,5702014362437,673419033275,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,94.0300,14.8900,"01/03/2004","31/12/2004"
"8605-1","Bionicle","Toa Metru",2004,"Toa Matau",,46,5.99,8,,,5702014362444,673419033282,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,112.0400,15.2000,"01/03/2004","31/12/2004"
"8606-1","Bionicle","Toa Metru",2004,"Toa Nuju",,48,5.99,8,,,5702014362468,673419033299,9.2,19,9.2,,"",0,0,0,,0,0,,,,,,,,,89.9100,16.7300,"01/03/2004","31/12/2004"
"8607-1","Bionicle","Matoran",2004,"Nuhrii",,27,2.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.3900,6.9600,"",""
"8608-1","Bionicle","Matoran",2004,"Vhisola",,27,2.99,4,,,5702014362482,673419033312,,,,,"",0,0,0,,0,0,,,,,,,,,23.0500,8.9600,"",""
"8609-1","Bionicle","Matoran",2004,"Tehutti",,27,2.99,4,,,5702014362499,673419033329,,,,,"",0,0,0,,0,0,,,,,,,,,20.0100,6.6300,"",""
"8610-1","Bionicle","Matoran",2004,"Ahkmou",,27,2.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.1000,8.7500,"",""
