Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1-3","Samsonite","Basic Set",1967,"Promotional Set No. 1 (Kraft Velveeta)",,74,,1,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,40.0000,"",""
"2-4","Samsonite","Basic Set",1967,"Promotional Set No. 2 (Kraft Velveeta)",,141,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3-3","Samsonite","Basic Set",1967,"Promotional Set No. 3 (Kraft Velveeta)",,300,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4-2","Samsonite","Basic Set",1967,"Promotional Set No. 4 with Carrying Case (Kraft Velveeta)",,321,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,45.0000,"",""
"5-2","Samsonite","Basic Set",1967,"Promotional Set No. 5 (Kraft Velveeta)",,156,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"005-2","Samsonite","Basic Set",1967,"Discovery Set",,328,,9.95,,,,,39.37,20.32,10.16,2.26,"",0,0,0,,0,0,,,,,,,,,,84.7800,"",""
"6-2","Samsonite","Basic Set",1967,"Promotional Set No. 6 (Kraft Velveeta)",,101,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"7-4","Samsonite","Basic set",1967,"Promotional Set No. 7 Carrying Case (Kraft Velveeta)",,1,,3.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"070-1","System","Basic Set",1967,"Universal Building Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"080-1","System","Basic Set",1967,"Basic Building Set with Train",,718,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,799.9900,"",""
"080-2","Samsonite","Basic Set",1967,"Ambassador Set",,562,,25,,,,,49.53,10.16,29.845,,"",0,0,0,,0,0,,,,,,,,,,262.1500,"",""
"116-1","Trains","4.5V",1967,"Starter Train Set with Motor",,439,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,110.2700,"",""
"117-1","Trains","4.5V",1967,"Locomotive without Motor",,107,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,39.4100,"",""
