Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"260-1","Books","LEGO",1990,"Idea Book",,1,,4.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"315-1","Basic","",1990,"Basic Building Set, 3+",,59,,,,,,042884003159,,,,,"",0,0,0,,0,0,,,,,,,,,7.9900,4.3800,"",""
"325-1","Basic","",1990,"Basic Building Set, 3+",1,104,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,4.9900,"",""
"335-1","Basic","",1990,"Basic Building Set, 3+",,99,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"365-2","Basic","",1990,"Basic Building Set, 3+",1,333,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,74.1700,33.2800,"",""
"385-2","Basic","",1990,"Basic Building Set, 3+",2,421,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,48.3800,"",""
"395-2","Basic","",1990,"Build-N-Store Chest",,535,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"515-1","Basic","",1990,"Basic Building Set, 5+",,106,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.1000,10.0000,"",""
"525-1","Basic","",1990,"Basic Building Set, 5+",1,175,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.1500,37.5200,"",""
"535-1","Basic","",1990,"Basic Building Set, 5+",2,340,,,,,5702010905355,,,,,,"",0,0,0,,0,0,,,,,,,,,81.6200,20.3700,"",""
"545-1","Basic","",1990,"Basic Building Set, 5+",2,409,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,207.7600,21.4000,"",""
"565-2","Basic","",1990,"Basic Building Set, 5+",2,672,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,196.4700,60.8800,"",""
"715-1","Basic","",1990,"Basic Building Set, 7+",,395,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,99.0000,20.2300,"",""
"725-1","Basic","",1990,"Basic Building Set, 7+",2,420,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,125.0000,72.0000,"",""
"735-1","Basic","",1990,"Basic Building Set, 7+",,537,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,250.0000,150.7300,"",""
"818-1","Basic","Supplementaries",1990,"Pull-Back Motor, Red",,8,,12.25,,,5702010908189,,,,,,"",0,0,0,,0,0,,,,,,,,,9.0900,4.5600,"",""
"821-1","Basic","Supplementaries",1990,"Brick Separator, Grey",,1,,2.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.9300,1.8500,"",""
