Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1-8","Minitalia","",1970,"Small house set",,67,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2-8","Minitalia","",1970,"Medium house set",,109,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3-6","Minitalia","",1970,"Medium house set",,158,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,90.6700,"",""
"4-4","Minitalia","",1970,"Large house set",,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,105.7800,"",""
"4-6","Samsonite","Model Maker",1970,"Mini House and Vehicles",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"078-1","Samsonite","Supplemental",1970,"Roadway Base Plate 50X50",,1,,1.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,400.0000,"",""
"104-1","Trains","Supplemental / 4.5V",1970,"4.5V Replacement Motor",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.5100,17.3900,"",""
"126-1","Trains","4.5v",1970,"Steam Locomotive (Push)",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,700.9600,16.0500,"",""
"157-3","Samsonite","Model Maker",1970,"4 Car Auto Transport",,65,,4.99,,,,,20.32,10.16,5.08,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"242-4","Books","LEGO",1970,"Big Model Book",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"271-3","Samsonite","Model Maker",1970,"Mini-House with Vehicles",,89,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"311-5","Samsonite","Model Maker",1970,"Remote Control Car Set",,271,,14.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"312-1","Samsonite","Model Maker",1970,"Remote Control Supplement",,1,,3.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"338-1","LEGOLAND","Vehicle",1970,"Ambulance",,74,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,16.3100,"",""
"345-3","Samsonite","Model Maker",1970,"House with Mini-Wheel Car",,136,,,,,,,19.685,25.4,3.175,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"346-1","Samsonite","Model Maker",1970,"Jumbo Jet",,121,,,,,,,15.5,5.08,10.3,0.166,"",0,0,0,,0,0,,,,,,,,,,78.4200,"",""
"347-1","LEGOLAND","Building",1970,"Fire Station",,320,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,57.1500,"",""
"347-4","Samsonite","Model Maker",1970,"Fire Station with Mini-Wheel Vehicles",,216,,,,,,,29.845,20.32,5.08,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"348-2","Samsonite","Model Maker",1970,"Mini-Wheel Car and Truck Set",,211,,3.99,,,,,20.4,20.4,5.5,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"367-2","Samsonite","Model Maker",1970,"Mini Airport and Vehicle",,233,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"512-1","Duplo","Basic Set",1970,"Building Set ",,20,1.1,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"513-1","Duplo","Basic Set",1970,"Building Set ",,29,2.1,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.0000,,"",""
"600-1","LEGOLAND","Vehicle",1970,"Ambulance",,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,100.6400,11.5700,"",""
"601-2","LEGOLAND","Vehicle",1970,"Tow Truck",,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,103.2400,10.3600,"",""
"602-2","LEGOLAND","Vehicle",1970,"Van with opening doors",,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,129.6600,22.4400,"",""
"603-3","LEGOLAND","Vehicle",1970,"Veteran Car",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,101.8500,5.3400,"",""
