Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"15-1","Castle","Classic",1984,"Castle Minifigures",6,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,62.6300,"",""
"105-1","Town","Special",1984,"Mail Van",1,65,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,99.0000,59.2400,"",""
"226-4","Books","LEGO",1984,"The Building Book",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"311-3","Basic","",1984,"Basic Building Set, 3+",,83,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3200,,"",""
"533-1","Basic","",1984,"Basic Building Set, 5+",,89,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,38.1000,11.0500,"",""
"759-1","Gear","Storage",1984,"Storage Cabinet",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,78.3900,94.2900,"",""
"760-1","Gear","Storage",1984,"Storage Cabinet",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,74.6800,"",""
"801-4","Fabuland","",1984,"Fabuland Characters",2,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.1500,"",""
"1012-1","Dacta","",1984,"Mosaic Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1032-1","Dacta","Technic",1984,"Technic II Powered Machines Set",,278,,80,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,108.9000,41.1300,"",""
"1051-1","Dacta","",1984,"Basic Pack",6,402,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1052-1","Dacta","",1984,"{Spare Elements}",,699,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1053-1","Dacta","",1984,"Community Buildings",,914,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,566.2600,175.7300,"",""
"1084-1","Dacta","",1984,"{Spare Elements - Structures}",,198,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1214-1","Service Packs","Trains",1984,"Upper part of housing for 4.5V/12V train motor",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3700,,"",""
"1900-1","Duplo","",1984,"Trial Pack Duck",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1901-1","Basic","",1984,"Trial Size Offer",,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1932-1","Basic","",1984,"Basic Building Set with Storage Case",,83,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1954-2","Basic","",1984,"Basic Set with Storage Case",,137,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1976-1","Town","Bonus/Value Pack",1984,"Town 3-Pack",,97,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,522.0200,,"",""
"1979-2","Town","Product Collection",1984,"Town Value Pack",,78,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,407.4700,,"",""
"1983-1","Space","Bonus/Value Pack",1984,"Space Value Pack",,97,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2054-1","Duplo","Baby",1984,"Squirrel Rattle",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.2400,"",""
"2055-1","Duplo","Baby",1984,"Rocking Horse",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.8500,,"",""
"2305-1","Duplo","",1984,"Base Plate, Red",,1,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2307-1","Duplo","",1984,"Supplementary Set",,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2309-1","Duplo","",1984,"Supplementary Set",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2335-1","Duplo","",1984,"Basic Set Animal",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.1300,6.7700,"",""
"2345-1","Duplo","",1984,"Basic Set House",2,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2355-1","Duplo","",1984,"Basic Set Vehicles",2,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,56.8400,,"",""
"2375-1","Duplo","",1984,"Basic Set Town",4,53,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2618-1","Duplo","",1984,"Deep Sea Diver",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7600,4.5800,"",""
"2619-1","Duplo","",1984,"Helicopter",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,3.7900,"",""
"2636-1","Duplo","",1984,"Tow Truck",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,6.2700,"",""
"2639-1","Duplo","",1984,"Petrol Station",2,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.8900,"",""
"2649-1","Duplo","",1984,"Sea Explorer",3,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,90.8000,26.8300,"",""
"2713-1","Duplo","Trains",1984,"Train Points",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.5200,23.9700,"",""
"2717-1","Duplo","Trains",1984,"Train Bridge",,5,,9,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.6400,15.7400,"",""
"3630-1","Fabuland","",1984,"Percy Pilot",1,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.5900,"",""
