Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"200-5","System","Town Plan",1962,"LEGO Town Plan Board, UK / Australian Cardboard Version",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"518-1","System","Supplemental",1962,"2 x 4 Plates (cardboard box version)",,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"518-9","System","Architecture",1962,"2 x 4 Plates (architectural hobby und modelbau version)",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,42.5900,"",""
"519-1","System","Supplemental",1962,"2 x 3 Plates (cardboard box version)",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.5300,"",""
"519-9","System","Architecture",1962,"2 x 3 Plates (architectural hobby und modelbau version)",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,2.8300,"",""
"520-2","System","Supplemental",1962,"2 x 2 Plates (cardboard box version)",,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.8500,"",""
"520-3","System","Architecture",1962,"2 x 2 Plates (architectural hobby und modelbau version)",,42,,,,,,,6.35,8.89,3.49,0.08,"",0,0,0,,0,0,,,,,,,,,26.5200,25.7800,"",""
"521-1","System","Supplemental",1962,"1 x 1 and 1 x 2 Plates (cardboard box version)",,80,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,21.9300,"",""
"521-9","System","Architecture",1962,"1 x 1 and 1 x 2 Plates (architectural hobby und modelbau version)",,82,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,35.8700,"",""
"704-3","Samsonite","Basic Set",1962,"Small Basic Set (Canister)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"706-2","Samsonite","Basic Set",1962,"Medium Basic Set (Canister)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"710-4","System","Wooden Box Set",1962,"Wooden Storage Box with Contents",,493,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,109.5300,"",""
"710-5","Samsonite","Basic Set",1962,"Large Basic Set (Canister)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"750-2","System","Architecture",1962,"Hobby and Model Box",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"751-2","System","Architecture",1962,"Hobby and Model Box",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"752-1","System","Architecture",1962,"Hobby and Model Box",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"810-4","System","Town Plan",1962,"Town Plan - UK, Cardboard box",,755,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,1642.2400,"",""
"229_1-1","System","Supplemental",1962,"2 x 8 Plates",,8,,,,,,,6.2,8.7,2.5,,"",0,0,0,,0,0,,,,,,,,,,,"",""







