Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1-7","Universal Building Set","",1973,"Basic Set",,107,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,14.0000,"",""
"2-7","Universal Building Set","",1973,"Basic Set",,184,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,59.3400,36.4900,"",""
"3-4","Universal Building Set","",1973,"Basic Set",,184,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,46.5400,"",""
"4-3","Universal Building Set","",1973,"Basic Set",,230,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,53.3100,"",""
"5-3","Universal Building Set","",1973,"Basic Set",,349,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,149.0000,59.0300,"",""
"6-3","Universal Building Set","",1973,"Basic Set",,349,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,90.3300,"",""
"7-3","Universal Building Set","",1973,"Basic Set",,415,,16,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,120.1700,"",""
"8-3","Universal Building Set","",1973,"Basic Set #8",,776,,19,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,426.5200,150.0000,"",""
"010-2","Duplo","",1973,"Pre-School Set",,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11-2","Minitalia","",1973,"Small pre-school set",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,247.1600,,"",""
"12-2","Minitalia","",1973,"Medium pre-school set",,70,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"13-2","Minitalia","",1973,"Large pre-school set",,92,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"14-3","Minitalia","",1973,"Small house set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,340.0000,,"",""
"15-2","Minitalia","",1973,"Large house set",,157,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"16-2","Minitalia","",1973,"City square",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"17-2","Minitalia","",1973,"Airport",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"020-2","Duplo","",1973,"Building Set",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"030-2","Duplo","",1973,"Building Set",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30-2","Minitalia","",1973,"Small ship",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"31-1","Minitalia","",1973,"Medium ship",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,62.3700,"",""
"32-2","Minitalia","",1973,"Large ship",,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,59.2400,"",""
"105-2","Universal Building Set","",1973,"Building Set",,149,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,,"",""
"115-1","Universal Building Set","",1973,"Building Set",,190,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,225.0000,18.0000,"",""
"135-1","Universal Building Set","",1973,"Building Set",,338,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,79.9900,"",""
"221-1","Books","LEGO",1973,"Idea Book No. 1",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"270-2","Homemaker","",1973,"Grandfather Clock, Chair and Table",,47,0.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,64.3900,75.0000,"",""
"271-1","Homemaker","",1973,"Baby's Cot and Cabinet",,49,0.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.4800,7.8400,"",""
"272-1","Homemaker","",1973,"Dressing Table with Mirror",,32,0.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,10.0000,"",""
"273-1","Homemaker","",1973,"Bureau",,23,0.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,8.4900,"",""
"290-2","Homemaker","",1973,"Dining Suite",,114,0.75,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,15.8200,"",""
"291-1","Homemaker","",1973,"Blackboard and School Desk",,90,0.75,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,99.0000,17.3200,"",""
"292-1","Homemaker","",1973,"Kitchen Sink and Cupboards",,59,0.75,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,97.0000,22.0500,"",""
"293-1","Homemaker","",1973,"Piano",,131,0.75,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,107.0000,10.0000,"",""
"310-3","LEGOLAND","Boats",1973,"Tugboat",,183,1.2,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,339.9700,37.3300,"",""
"311-1","LEGOLAND","Boats",1973,"Ferry",,83,1.6,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,28.4800,"",""
"312-3","LEGOLAND","Boats",1973,"Cargo Ship",,59,1.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,27.3500,"",""
"356-1","LEGOLAND","",1973,"Italian Villa",,150,1.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,50.7500,"",""
"357-1","LEGOLAND","",1973,"Legoland Fire House",,218,2.95,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,75.3900,"",""
"358-1","LEGOLAND","",1973,"Rocket Base",,276,2.95,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1225.0900,104.6900,"",""
"381-1","LEGOLAND","Vehicle",1973,"Lorry and Fork Lift Truck",,86,1.25,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,23.7500,"",""
"382-1","LEGOLAND","",1973,"Breakdown Truck and Car",,91,1.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.3800,"",""
"383-1","LEGOLAND","",1973,"Truck with Excavator",,112,1.95,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,312.0100,37.5700,"",""
"384-1","LEGOLAND","Town",1973,"London Bus",,110,1.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,209.9600,26.4700,"",""
"410-1","LEGOLAND","",1973,"Payloader",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,46.8200,25.2000,"",""
"420-1","LEGOLAND","Vehicle",1973,"Police Car",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,105.0000,6.5400,"",""
"450-1","LEGOLAND","",1973,"Fork lift",,46,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,125.0000,25.0000,"",""
"460-1","LEGOLAND","",1973,"Rescue Units",,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,89.2100,12.9900,"",""
"508-2","Duplo","",1973,"Kindergarten Set",,,8.75,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"515-2","Duplo","",1973,"Building set",,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"540-3","LEGOLAND","",1973,"Swiss villa",,155,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,375.0000,67.6200,"",""
"545-2","LEGOLAND","",1973,"Conveyor Station",,173,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,79.9900,"",""
"560-2","LEGOLAND","Building",1973,"Police Heliport",,166,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,60.0000,"",""
"570-1","LEGOLAND","",1973,"Fire House",,218,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,54.9900,"",""
"610-1","LEGOLAND","",1973,"Vintage car",,41,0.33,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,71.3900,10.6600,"",""
"611-1","LEGOLAND","Vehicle",1973,"Police Car",,19,0.33,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.0100,"",""
"653-1","LEGOLAND","Vehicle",1973,"Ambulance and Helicopter",,37,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.9900,26.1800,"",""
"654-1","LEGOLAND","",1973,"Crane Truck",,36,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,16.2100,"",""
"655-1","LEGOLAND","",1973,"Mobile Hydraulic Hoist",,36,0.55,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,87.1500,8.7900,"",""
"686-1","LEGOLAND","",1973,"Digger and Tippers",,70,0.88,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,13.8400,"",""
"687-1","LEGOLAND","",1973,"Caravelle Aeroplane",,49,0.88,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,104.1700,44.8400,"",""
"688-1","LEGOLAND","",1973,"Shell Tanker",,63,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.1800,"",""
"710-1","LEGOLAND","",1973,"Wrecker with Car",,89,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,99.0000,"",""
"730-1","LEGOLAND","",1973,"Steam Shovel with Carrier",,101,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,139.0000,30.0000,"",""
"900-1","Basic","",1973,"Universal Motor Set",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,235.5600,75.0000,"",""
