Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"2009-1","Miscellaneous","Employee gift",2009,"Heart",,92,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3592-1","Games","",2009,"Knights' Kingdom Board Game",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3594-1","Duplo","Bob the Builder",2009,"Bob's Workshop",2,14,12.69,14.99,,,5702014537262,,,,,,"",0,0,0,,0,0,,,,,,,,,29.9500,10.9000,"",""
"3595-1","Duplo","Bob the Builder",2009,"Scoop at Bobland Bay",1,28,15.65,19.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.9500,30.6400,"",""
"3596-1","Duplo","Bob the Builder",2009,"Muck Can Do It",1,39,22.49,29.99,,,,673419124652,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,34.9500,27.4000,"01/03/2009","31/12/2009"
"3597-1","Duplo","Bob the Builder",2009,"Lofty and Dizzy Hard At Work",3,51,29.35,39.99,,,5702014537293,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,,19.5000,"01/03/2009","31/12/2009"
"3833-1","SpongeBob SquarePants","",2009,"Krusty Krab Adventures",3,209,24.99,24.99,34.99,,5702014533707,673419111959,28.2,26.2,6.4,0.39,"",0,0,0,,0,0,,,,,,,,,174.0300,57.7900,"01/01/2009","31/07/2012"
"3834-1","SpongeBob SquarePants","",2009,"Good Neighbours at Bikini Bottom",3,425,39.99,39.99,54.99,,5702014533714,673419111966,38.2,26.2,5.65,0.6,"",0,0,0,,0,0,,,,,,,,,287.5600,87.7600,"01/01/2009","31/12/2011"
"3835-1","Games","",2009,"Robo Champ",,118,7.99,4.99,12.99,,5702014589674,673419131025,14.4,19.99,6.71,0.22,"",0,0,0,,0,0,,,,,,,,,12.0500,4.5100,"01/08/2009","31/07/2011"
"3836-1","Games","",2009,"Magikus ",,108,7.99,9.99,12.99,,5702014589681,673419131117,14.4,19.99,6.71,0.25,"",0,0,0,,0,0,,,,,,,,,11.9300,5.3000,"01/08/2009","31/07/2011"
"3837-1","Games","",2009,"Monster 4",,141,9.99,14.99,19.99,,5702014589698,673419131124,14.4,27.2,6.71,0.31,"",0,0,0,,0,0,,,,,,,,,18.1000,9.2100,"01/08/2009","31/07/2011"
"3838-1","Games","",2009,"Lava Dragon ",4,131,9.99,14.99,19.99,,5702014589704,673419131131,14.4,27.2,6.71,0.32,"",0,0,0,,0,0,,,,,,,,,33.0000,7.0500,"01/08/2009","31/12/2011"
"3839-1","Games","",2009,"Race 3000",,166,14.99,9.99,26.99,,5702014589711,673419131148,19.2,27.2,6.71,0.47,"",0,0,0,,0,0,,,,,,,,,27.0000,13.0000,"01/08/2009","31/12/2011"
"3840-1","Games","",2009,"Pirate Code",1,268,16.99,9.99,26.99,,5702014589728,673419131155,19.2,27.2,6.71,0.48,"",0,0,0,,0,0,,,,,,,,,38.4700,10.3600,"01/08/2009","31/07/2011"
"3841-1","Games","Minotaurus",2009,"Minotaurus",12,211,17.99,24.99,34.99,,5702014589735,673419131162,28.8,27.2,6.71,0.61,"",0,0,0,,0,0,,,,,,,,,45.5400,12.7100,"01/08/2009","31/12/2013"
"3842-1","Games","",2009,"Lunar Command ",6,271,19.99,,,,5702014589742,,28.8,27.2,6.7,,"",0,0,0,,0,0,,,,,,,,,24.9600,15.8200,"01/08/2009","31/12/2010"
"3843-1","Games","Ramses",2009,"Ramses Pyramid ",13,217,19.99,29.99,39.99,,5702014589759,673419131216,28.8,27.2,6.71,0.68,"",0,0,0,,0,0,,,,,,,,,33.0700,17.3900,"01/08/2009","31/12/2011"
"3844-1","Games","Creationary",2009,"Creationary ",2,338,24.99,34.99,44.99,,5702014589766,673419131223,43.2,27.2,6.7,0.94,"",0,0,0,,0,0,,,,,,,,,61.5400,22.4600,"",""
"4899-1","City","Farm",2009,"Tractor",1,28,,,,,5702014536814,673419127950,14,14,1,,"",0,0,0,,0,0,,,,,,,,,8.9600,4.2200,"01/03/2009","31/12/2010"
"5486-1","Duplo","",2009,"Fun With Duplo Bricks",,90,21.99,29.99,39.99,,5702014534162,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5487-1","Bricks and More","",2009,"Fun With LEGO Bricks",,700,21.99,29.99,39.99,,5702014534179,,,,,,"",0,0,0,,0,0,,,,,,,,,19.9500,,"",""
"5488-1","Duplo","",2009,"Duplo Farm Building Set",2,102,29.99,39.99,64.99,,5702014534186,673419128384,41,19.1,27.7,,"",0,0,0,,0,0,,,,,,,,,55.2700,,"01/06/2009","31/12/2010"
"5489-1","Bricks and More","",2009,"Ultimate LEGO Vehicle Building Set",1,675,29.99,44.99,64.99,,5702014534193,,41,19.1,27.7,,"",0,0,0,,0,0,,,,,,,,,50.7700,16.6600,"01/06/2009","31/12/2011"
