Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"0011-2","Town","Accessories",1979,"Town Minifigures",3,3,,4.49,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.0100,"",""
"0012-1","Space","Minifigure Pack",1979,"Space minifigures",2,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"0013-1","Space","Minifigure Pack",1979,"Space minifigures",2,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"0014-1","Space","Minifigure Pack",1979,"Space minifigures",2,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"0015-1","Space","Minifigure Pack",1979,"Space minifigures",3,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"0016-1","Castle","",1979,"Castle Minifigures",3,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,75.1200,"",""
"028-1","Duplo","",1979,"Nursery Furniture",2,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.7200,"",""
"032-1","Duplo","",1979,"Living Room Furniture",3,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,15.6500,"",""
"033-1","Duplo","",1979,"Farm Animals",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"041-2","Duplo","",1979,"Play-Box",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.4400,,"",""
"045-1","Duplo","",1979,"Farm",5,65,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"071-1","Duplo","",1979,"Block Box",,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"121-1","Fabuland","",1979,"Roadster",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,6.9300,"",""
"128-1","Fabuland","",1979,"Taxi Station",1,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,238.5000,29.5000,"",""
"132-1","Fabuland","",1979,"Cottage",2,113,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"134-2","Fabuland","",1979,"Service Station",2,59,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,499.0000,74.2300,"",""
"137-1","Fabuland","",1979,"Hospital",3,106,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,556.2000,61.6100,"",""
"140-1","Fabuland","",1979,"Town Hall",3,134,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,63.8200,"",""
"261-1","Homemaker","",1979,"Bathroom",1,164,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.0000,72.5000,"",""
"268-1","Homemaker","",1979,"Family Room",2,244,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,30.0000,"",""
"269-1","Homemaker","",1979,"Kitchen",1,212,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,65.0000,"",""
"305-1","Space","Classic",1979,"Two Crater Plates",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.9000,27.1300,"",""
"306-1","Space","Classic",1979,"Two Lunar Landing Plates",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,61.6000,22.1400,"",""
"308-1","Scala","Jewellery",1979,"Bracelet",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,14.8900,"",""
"309-1","Scala","Jewellery",1979,"Bracelet",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,31.8000,"",""
"310-2","Scala","Jewellery",1979,"Pendant",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,56.4500,34.4000,"",""
"311-2","Scala","Jewellery",1979,"Pendant",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.6300,16.3400,"",""
"312-2","Scala","Jewellery",1979,"Bracelet and Pendant",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.3700,45.6200,"",""
"313-2","Scala","Jewellery",1979,"Bracelet and Pendant",,137,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,92.5000,33.4700,"",""
"324-1","Fabuland","",1979,"Ricky Racoon on his Scooter",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,65.4500,4.8300,"",""
"325-2","Fabuland","",1979,"Percy Pig with his Barrow",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,189.9200,3.4800,"",""
"328-1","Fabuland","",1979,"Michael Mouse and his New Car",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,74.5400,7.0700,"",""
"329-2","Fabuland","",1979,"Bernard Bear and his Delivery Lorry",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,8.2300,"",""
"338-2","Fabuland","",1979,"Blondi the Pig and Taxi Station",1,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,388.6700,53.5500,"",""
