Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"700_1-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_16-1","System","Supplemental",1954,"Individual 2 x 8 Bricks",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_2-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_20-1","System","Supplemental",1954,"Individual 2 x 10 Bricks",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_24-1","System","Supplemental",1954,"Individual 2 x 12 Bricks",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_28-1","System","Supplemental",1954,"Individual 2 x 14 Bricks",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_3-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_3A-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_4-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_5-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_6-1","System","Town Plan",1954,"Gift Package (Lego Mursten)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C-1","System","Supplemental",1954,"Tall Classic Windows/Door (with Glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_1-1","System","Supplemental",1954,"Individual 1 x 6 x 4 Panorama Window (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_2-1","System","Supplemental",1954,"Individual 1 x 6 x 3 3-Pane Window (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_3-1","System","Supplemental",1954,"Individual 1 x 6 x 3 Shutter Window (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_4-1","System","Supplemental",1954,"Individual 1 x 4 x 3 Window (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_5-1","System","Supplemental",1954,"Individual 1 x 3 x 3 Window (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_C_6-1","System","Supplemental",1954,"Individual 1 x 2 x 4 Door (with glass)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_E-1","System","Supplemental",1954,"Individual 10 x 20 Baseplate",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_H-1","System","Supplemental",1954,"Individual 4 x 4 Corner Bricks",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







