Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1-10","Samsonite","Model Maker",1971,"Mini-Wheel Model Maker No. 1 (Kraft Velveeta)",,86,,,,,,,14.2,5.6,10.3,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2-10","Samsonite","Model Maker",1971,"Mini-Wheel Model Maker No. 2 (Kraft Velveeta)",,74,,,,,,,14.2,5.6,10.3,,"",0,0,0,,0,0,,,,,,,,,,80.0000,"",""
"3-8","Samsonite","Model Maker",1971,"Mini-Wheel Model Maker No. 3 (Kraft Velveeta)",,65,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4-5","Samsonite","Model Maker",1971,"Mini-Wheel Model Maker Set 4 (Kraft Velveeta)",,,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5-4","Minitalia","",1971,"Large house set",,307,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,485.0500,"",""
"5-5","Samsonite","Model Maker",1971,"Mini-Wheel Model Maker Set 5 (Kraft Velveeta)",,2,,6.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6-4","Samsonite","Basic set",1971,"Promotional Basic Set No. 6 (Kraft Velveeta)",,77,,1,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"7-5","Samsonite","Basic Set",1971,"Promotional Basic Set No. 7 (Kraft Velveeta)",,159,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"8-4","Samsonite","Basic Set",1971,"Promotional Basic Set No. 8 (Kraft Velveeta)",,301,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9-2","Samsonite","Basic Set",1971,"Promotional Basic Set No. 9 (Kraft Velveeta)",,550,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.1900,8.0000,"",""
"10-3","Samsonite","Basic Set",1971,"Promotional Basic Set No. 10 (Kraft Velveeta)",,101,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,44.1500,"",""
"21-2","Minitalia","",1971,"Truck",,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,85.8700,,"",""
"22-1","Minitalia","",1971,"Car",,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,99.0000,62.3700,"",""
