Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10264-1","Creator Expert","Modular Buildings Collection",2019,"Corner Garage",6,2569,159.99,199.99,269.99,179.99,5702016368253,,57.7,47.4,8.6,3.044,"",0,0,0,,0,0,,,,,,,,,229.5300,225.6000,"01/01/2019","31/12/2021"
"10265-1","Creator Expert","Vehicles",2019,"Ford Mustang",,1471,149.99,169.99,209.99,169.99,5702016368260,673419302425,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,118.6100,84.5400,"01/03/2019","31/12/2023"
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,89.99,99.99,139.99,99.99,5702016368277,673419302432,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,92.5800,64.1000,"01/06/2019","31/12/2023"
"10267-1","Creator Expert","Winter Village Collection",2019,"Gingerbread House",2,1477,84.99,99.99,139.99,89.99,5702016368284,,47.8,27.8,8.8,1.448,"",0,0,0,,0,0,,,,,,,,,124.9300,112.6100,"01/10/2019","31/12/2021"
"10269-1","Creator Expert","Vehicles",2019,"Harley-Davidson Fat Boy",,1023,84.99,99.99,139.99,89.99,5702016368291,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,110.6400,71.4300,"01/08/2019","31/12/2021"
"10766-1","Disney","Toy Story 4",2019,"Woody & RC",1,69,8.99,9.99,13.99,9.74,5702016367713,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,14.5400,6.1000,"22/04/2019","31/12/2020"
"10767-1","Disney","Toy Story 4",2019,"Duke Caboom's Stunt Show",2,120,15.99,19.99,24.99,19.49,5702016367720,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,16.7800,14.2500,"22/04/2019","31/07/2020"
"10768-1","Disney","Toy Story 4",2019,"Buzz and Bo Peep's Playground Adventure",3,139,19.99,24.99,34.99,24.36,5702016367737,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,23.5200,14.9300,"22/04/2019","31/12/2020"
"10769-1","Disney","Toy Story 4",2019,"RV Vacation",3,178,29.99,34.99,49.99,34.11,5702016367744,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,36.1700,16.0000,"22/04/2019","31/12/2020"
"10770-1","Disney","Toy Story 4",2019,"Buzz & Woody's Carnival Mania!",5,230,44.99,49.99,69.99,49.99,5702016367751,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,30.3300,19.9300,"22/04/2019","31/12/2020"
"10771-1","Disney","Toy Story 4",2019,"Carnival Thrill Coaster",2,98,15.99,19.99,24.99,19.49,5702016477863,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,21.2000,11.5100,"22/04/2019","31/12/2020"
"10883-1","Duplo","",2019,"My First Tow Truck",,11,7.99,9.99,13.99,9.74,5702016367553,673419301800,26.2,14.1,7.2,0.26,"",0,0,0,,0,0,,,,,,,,,8.7000,5.6600,"01/01/2019","31/12/2020"
"10884-1","Duplo","",2019,"My First Balancing Animals",,15,12.99,14.99,19.99,14.61,5702016367560,,22.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,11.3500,,"01/01/2019","31/12/2020"
"10885-1","Duplo","",2019,"My First Fun Puzzle",,15,12.99,19.99,24.99,19.49,5702016367577,673419301824,35.4,19.1,9.1,0.55,"",0,0,0,,0,0,,,,,,,,,14.6500,,"01/01/2019","31/12/2020"
"10886-1","Duplo","",2019,"My First Car Creations",,34,14.99,19.99,24.99,19.99,5702016367584,673419301831,28.2,26.2,9.55,0.64,"",0,0,0,,0,0,,,,,,,,,19.7500,,"01/01/2019","31/12/2021"
"10887-1","Duplo","",2019,"Creative Fun",1,120,29.99,39.99,49.99,34.99,5702016367591,673419301848,26.2,38.2,14.1,1.45,"",0,0,0,,0,0,,,,,,,,,42.8800,,"01/01/2019","31/12/2021"
"10889-1","Duplo","Mickey",2019,"Mickey's Vacation House",3,57,44.99,49.99,59.99,48.73,5702016367515,,35,37.5,9.2,0.987,"",0,0,0,,0,0,,,,,,,,,52.8300,39.1100,"01/06/2019","31/12/2020"
"10893-1","Duplo","Marvel Super Hero Adventures",2019,"Spider-Man vs. Electro",2,29,17.99,19.99,24.99,19.99,5702016367621,673419301879,26.2,19.1,7.2,0.41,"",0,0,0,,0,0,,,,,,,,,30.0000,,"01/01/2019","31/12/2019"
"10894-1","Duplo","Toy Story",2019,"Toy Story Train",2,21,17.99,19.99,24.99,19.99,5702016367546,673419301794,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,22.5000,17.0600,"01/03/2019","31/07/2021"
"10895-1","Duplo","The LEGO Movie 2",2019,"Emmet and Lucy's Visitors from the DUPLO Planet",2,53,24.99,29.99,34.99,29.99,5702016367638,673419301886,38.2,26.2,9.4,0.8,"",0,0,0,,0,0,,,,,,,,,21.8400,16.9700,"01/01/2019","31/12/2019"
"10897-1","Duplo","Minnie",2019,"My First Minnie Build",,10,8.99,9.99,13.99,9.99,5702016367522,673419301770,14.1,19.1,9.1,0.25,"",0,0,0,,0,0,,,,,,,,,13.3600,,"01/01/2019","31/12/2020"
"10898-1","Duplo","Mickey",2019,"My First Mickey Build",,9,8.99,9.99,13.99,9.74,5702016367539,673419301787,14.1,19.1,9.1,0.24,"",0,0,0,,0,0,,,,,,,,,6.7500,,"01/01/2019","31/07/2020"
"10899-1","Duplo","Frozen",2019,"Frozen Ice Castle",3,59,44.99,49.99,64.99,49.99,5702016367614,673419301862,35.4,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,39.9900,,"01/08/2019","31/12/2023"
"10900-1","Duplo","",2019,"Police Bike",1,8,9.99,9.99,13.99,9.99,5702016367645,673419301893,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,10.3300,7.9900,"01/01/2019","31/12/2021"
"10901-1","Duplo","",2019,"Fire Truck",2,21,17.99,19.99,24.99,19.99,5702016367652,673419301909,22.2,26.2,9.5,0.45,"",0,0,0,,0,0,,,,,,,,,18.3600,15.9500,"01/01/2019","31/12/2021"
"10902-1","Duplo","",2019,"Police Station",3,38,24.99,29.99,34.99,29.99,5702016367669,673419301916,38.2,26.2,9.4,0.71,"",0,0,0,,0,0,,,,,,,,,22.0300,19.2500,"01/01/2019","31/07/2021"
"10903-1","Duplo","",2019,"Fire Station",2,76,39.99,49.99,69.99,49.99,5702016367676,673419301923,35.4,37.8,9.4,1.14,"",0,0,0,,0,0,,,,,,,,,65.9600,27.9900,"01/01/2019","31/12/2021"
"10904-1","Duplo","",2019,"Baby Animals",,9,9.99,9.99,13.99,9.74,5702016367683,673419301930,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,14.3100,6.8300,"01/06/2019","31/12/2020"
"10906-1","Duplo","",2019,"Tropical Island",3,73,54.99,59.99,69.99,59.99,5702016371017,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,73.7400,,"01/06/2019","31/07/2021"
"10907-1","Duplo","",2019,"World Animals",6,121,89.99,99.99,129.99,99.99,5702016367706,,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,35.0000,,"01/06/2019","31/12/2021"
"10908-1","Duplo","",2019,"Plane",1,12,8.99,9.99,13.99,9.99,5702016394757,673419308762,19.1,14.1,7.1,0.22,"",0,0,0,,0,0,,,,,,,,,9.0900,1.8300,"01/01/2019","31/12/2021"
"10910-1","Duplo","",2019,"Submarine Adventure",2,24,17.99,19.99,24.99,19.99,5702016680522,,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,31.8000,18.2700,"01/06/2019","31/07/2021"
"11001-1","Classic","Bricks",2019,"Bricks and Ideas",,123,8.99,9.99,13.99,9.99,5702016367768,673419302029,15.7,14.1,6.1,0.17,"",0,0,0,,0,0,,,,,,,,,7.6400,3.8200,"01/01/2019","31/12/2021"
