Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"001-1","Samsonite","Basic Set",1965,"Gears",,43,,4.95,,,,,39.5,20.3,5.1,,"",0,0,0,,0,0,,,,,,,,,80.0000,78.0000,"",""
"002-1","Samsonite","Basic Set",1965,"4.5V Samsonite Gears Motor Set",,3,,4.95,,,,,20.32,10.16,5.08,0.244,"",0,0,0,,0,0,,,,,,,,,,115.0000,"",""
"005-1","System","Basic Set",1965,"Basic Building Set in Cardboard",,53,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,38.5700,"",""
"010-1","System","Basic Set",1965,"Basic Building Set in Cardboard",,57,,,,,,,10,20,5,,"",0,0,0,,0,0,,,,,,,,,,29.1400,"",""
"020-1","System","Basic Set",1965,"Basic Building Set in Cardboard",,94,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,20.0900,"",""
"022-2","Samsonite","Basic Set",1965,"Doll Furniture",,301,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"030-1","System","Basic Set",1965,"Basic Building Set in Cardboard",,167,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,20.0000,"",""
"060-2","System","Basic Set",1965,"Basic Building Set in Cardboard",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"90-2","Dacta","Classic",1965,"Educational Box - Empty",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"91-1","Dacta","Classic",1965,"Educational Set 1 (Terapi I)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"92-1","Dacta","Classic",1965,"Educational Set 2 (Therapy II)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"93-1","Dacta","Classic",1965,"Educational Set 3 (Therapy III)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"319-1","System","Vehicle",1965,"Truck with Trailer",,74,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,61.6700,"",""
"320-2","System","Vehicle",1965,"Airplane",,120,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,106.9200,"",""
"321-1","System","Basic Set",1965,"Clowns",,223,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"326-1","System","Building",1965,"Small Cottage",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,55.9900,"",""
"409-1","System","Supplemental",1965,"38 Slimbricks Assorted Sizes (The Building Toy)",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"509-1","System","Supplemental",1965,"38 Slimbricks Assorted Sizes",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"510-2","System","Supplemental",1965,"Tiles",,52,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,16.4900,"",""
"603-2","System","HO 1:87 Vehicles",1965,"1:87 Citroën DS 19",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,37.1400,"",""
"605-3","System","HO 1:87 Vehicles",1965,"1:87 Fiat 1800",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"607-2","System","HO 1:87 Vehicles",1965,"1:87 VW Samba Bus",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,68.4300,"",""
"610-3","Samsonite","Basic Set",1965,"Super Wheel Toy Set (long box version)",,304,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,66.8900,"",""
"610-4","Samsonite","Basic Set",1965,"Super Wheel Toy Set (tall box version)",,304,,9.95,,,,,15.875,39.37,7.3025,0.78,"",0,0,0,,0,0,,,,,,,,,,319.5300,"",""
"662-2","System","HO 1:87 Vehicles",1965,"1:87 Opel Rekord",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,42.3000,"",""
"698-2","System","HO 1:87 Vehicles",1965,"1:87 12 Cars",,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"699-2","System","HO 1:87 Vehicles",1965,"1:87 8 Trucks",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"799-2","Samsonite","Supplemental",1965,"Giant Base Plate",,1,,,,,,,40,40,0.3,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1610-3","Samsonite","Basic Set",1965,"Super Wheel Toy Set - Sears Exclusive",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"280_3-1","Samsonite","Supplemental",1965,"Assorted Bevelled Bricks",,34,,0.5,,,,,8.9,12.7,3.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"700_4-2","Samsonite","Supplemental",1965,"Large Base Plates",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







