Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"22-3","Assorted","",1995,"Value Pack Italy",,91,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,101.8200,,"",""
"23-2","Town","Product Collection",1995,"Value Pack Italy",,156,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.1500,,"",""
"1660-1","Promotional","Ferries",1995,"Kronprins Frederik Ferry",,163,,,,,5702010916603,,,,,,"",0,0,0,,0,0,,,,,,,,,295.5100,59.7600,"",""
"1714-1","Space","Spyrius",1995,"Surveillance Scooter",1,22,,1.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,10.0000,"",""
"1715-1","Basic","",1995,"Standard Bricks",,400,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.0000,20.0000,"",""
"1719-2","Freestyle","",1995,"Freestyle Bricks and Plates",,199,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1734-1","Duplo","",1995,"Large Clown Bucket",,77,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1736-1","Castle","Dragon Knights",1995,"Wizard's Cart",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.4000,17.8100,"",""
"1743-1","Basic","",1995,"Standard Bricks, 5+",,400,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.9900,,"",""
"1744-1","Duplo","",1995,"Medium Bucket",1,51,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1745-1","Basic","",1995,"Standard Bricks, 3+",,404,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1746-1","Castle","Dragon Knights",1995,"Wiz the Wizard",1,17,,2.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,65.8100,18.0000,"",""
"1756-1","Basic","",1995,"Animals",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.4200,0.6800,"",""
"1758-1","Basic","",1995,"Animals",,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7100,0.4100,"",""
"1759-1","Duplo","",1995,"Parrot",,7,,0.6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9500,,"",""
"1760-1","Town","Racing",1995,"Go-Kart",1,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.2400,1.7000,"",""
"1761-1","Town","Paradisa",1995,"Paradisa Speedboat",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.5500,4.5700,"",""
"1762-1","Town","Racing",1995,"Go-Kart",1,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.5000,3.5000,"",""
"1764-1","Duplo","",1995,"Birthday Building Set",,100,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1765-1","Duplo","",1995,"Small Bucket",,34,,,,,5702010917655,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1766-1","Freestyle","",1995,"Small Freestyle Bucket",,109,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1767-1","Basic","",1995,"Animals",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7100,0.4100,"",""
"1768-1","Basic","",1995,"Animals",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.1000,0.3800,"",""
"1785-1","Space","Miscellaneous",1995,"Crater Critters",,143,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,149.9900,26.0900,"",""
