Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"3061-1","Friends","Heartlake City",2012,"City Park Cafe",2,222,29.99,34.99,39.99,,5702014733114,673419165570,38.2,26.2,5.6,0.57,"",0,0,0,,0,0,,,,,,,,,46.0100,18.4000,"01/01/2012","31/12/2013"
"3063-1","Friends","General",2012,"Heartlake Flying Club",1,195,19.99,19.99,24.99,,5702014831483,673419165846,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,28.2800,6.7200,"01/06/2012","31/12/2013"
"3065-1","Friends","Tree Houses",2012,"Olivia's Tree House",1,191,19.99,19.99,24.99,,5702014733145,673419165624,35.4,19.1,5.9,0.38,"",0,0,0,,0,0,,,,,,,,,26.3500,11.0900,"01/01/2012","31/12/2013"
"3183-1","Friends","Traffic",2012,"Stephanie's Cool Convertible",1,130,14.99,14.99,17.99,,5702014733152,673419165631,26.2,14.1,4.8,0.21,"",0,0,0,,0,0,,,,,,,,,21.0700,4.5000,"01/01/2012","31/07/2013"
"3184-1","Friends","Great Outdoors",2012,"Adventure Camper",2,309,29.99,34.99,39.99,,5702014733169,673419165655,38.2,26.2,5.6,0.47,"",0,0,0,,0,0,,,,,,,,,36.8800,19.3200,"01/06/2012","31/12/2013"
"3185-1","Friends","Horseback Riding",2012,"Summer Riding Camp",4,1112,89.99,99.99,124.99,,5702014831490,673419165853,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,182.4700,76.4900,"01/06/2012","31/07/2014"
"3186-1","Friends","Horseback Riding",2012,"Emma's Horse Trailer",1,218,19.99,24.99,29.99,,5702014733176,673419165679,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,62.5000,14.5800,"01/06/2012","31/12/2014"
"3187-1","Friends","Heartlake City",2012,"Butterfly Beauty Shop",2,221,24.99,24.99,29.99,,,673419165686,28.19,26.19,6.4,0.47,"",0,0,0,,0,0,,,,,,,,,59.9300,14.1500,"01/01/2012","31/12/2012"
"3188-1","Friends","Heartlake City",2012,"Heartlake Vet",2,343,39.99,44.99,49.99,,5702014831513,673419165860,48,28.2,6.1,0.82,"",0,0,0,,0,0,,,,,,,,,52.4000,25.7400,"01/01/2012","31/12/2013"
"3189-1","Friends","Horseback Riding",2012,"Heartlake Stables",2,401,49.99,49.99,64.99,,5702014733206,673419165693,54,28.2,5.9,0.95,"",0,0,0,,0,0,,,,,,,,,145.0000,30.2700,"01/06/2012","31/12/2013"
"3315-1","Friends","Houses",2012,"Olivia's House",3,695,69.99,74.99,89.99,,5702014733220,673419165709,48,37.8,7,1.38,"",0,0,0,,0,0,,,,,,,,,129.9900,39.4800,"01/01/2012","31/12/2014"
"3316-1","Friends","Seasonal",2012,"Friends Advent Calendar",2,212,19.99,34.99,,,5702014733237,673419165617,38.2,26.19,7.06,0.35,"",0,0,0,,0,0,,,,,,,,,34.8500,18.7600,"01/09/2012","31/12/2012"
"3817-1","SpongeBob SquarePants","",2012,"The Flying Dutchman",3,241,24.99,24.99,29.99,,5702014842700,673419168595,35.4,19.1,5.9,0.39,"",0,0,0,,0,0,,,,,,,,,107.1200,53.4400,"01/01/2012","31/12/2013"
"3818-1","SpongeBob SquarePants","",2012,"Bikini Bottom Undersea Party",4,471,49.99,49.99,64.99,,5702014842311,673419168359,48,28.2,6.1,0.77,"",0,0,0,,0,0,,,,,,,,,257.0900,113.4200,"01/01/2012","31/12/2013"
"3863-1","Games","",2012,"Kokoriko",,115,7.99,,,,5702014736498,,14.4,20,5.4,,"",0,0,0,,0,0,,,,,,,,,10.1200,6.1400,"01/03/2012","31/12/2012"
"3864-1","Games","Minotaurus",2012,"Mini-Taurus",4,165,9.99,,,,5702014831247,,14.4,27.2,5.4,,"",0,0,0,,0,0,,,,,,,,,26.8500,12.9900,"01/03/2012","31/12/2012"
