Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10278-1","Icons","Modular Buildings Collection",2021,"Police Station",5,2923,169.99,199.99,269.99,199.99,5702016913729,673419340502,57.7,47.6,11.8,4.012,"",0,0,0,,0,0,,,,,,,,,177.7800,144.3400,"01/01/2021","31/12/2023"
"10279-1","Icons","Vehicles",2021,"Volkswagen T2 Camper Van",,2207,139.99,179.99,249.99,159.99,5702016913736,,57.8,37.4,11.2,2.945,"",0,0,0,,0,0,,,,,,,,,143.8800,135.4300,"01/08/2021","31/12/2022"
"10280-1","Icons","Botanical Collection",2021,"Flower Bouquet",,756,54.99,59.99,79.99,59.99,5702016913767,673419340526,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,49.5900,32.3800,"01/01/2021","31/12/2025"
"10281-1","Icons","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,673419340533,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,39.1100,28.9300,"01/01/2021","31/12/2024"
"10282-1","Icons","Adidas",2021,"Adidas Originals Superstar",,731,79.99,79.99,109.99,89.99,5702016914030,673419340281,32.2,11.2,19.7,,"",0,0,0,,0,0,,,,,,,,,61.6900,44.3400,"01/07/2021","31/12/2022"
"10282-2","Icons","Adidas",2021,"Adidas Originals Superstar X Footshop 'Blueprinting'",,,79.99,79.99,109.99,89.99,5702016914030,,32.2,11.2,19.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/07/2021","31/12/2022"
"10283-1","Icons","Space",2021,"NASA Space Shuttle Discovery",,2354,169.99,199.99,269.99,199.99,5702016914061,673419340298,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,167.1900,138.3200,"01/04/2021","31/12/2024"
"10284-1","Icons","Stadiums",2021,"Camp Nou - FC Barcelona",,5509,289.99,349.99,449.99,329.99,5702016914276,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,297.3200,226.8100,"01/09/2021","31/12/2022"
"10289-1","Icons","Botanical Collection",2021,"Bird of Paradise",,1173,89.99,99.99,139.99,99.99,5702016973563,673419344951,28.2,48,9.1,1.363,"",0,0,0,,0,0,,,,,,,,,98.0500,69.8900,"01/06/2021","31/12/2023"
"10290-1","Icons","Vehicles",2021,"Pickup Truck",,1677,114.99,129.99,169.99,129.99,5702016972030,673419344975,48,28.2,11.8,1.978,"",0,0,0,,0,0,,,,,,,,,103.0500,83.8100,"01/10/2021","31/12/2023"
"10291-1","Icons","Licensed",2021,"Queer Eye – The Fab 5 Loft",7,974,89.99,99.99,139.99,99.99,5702016914290,,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,65.2300,54.9100,"01/10/2021","31/12/2022"
