Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"620-3","Bricks and More","",2010,"Blue Building Plate",,1,7.49,4.99,7.99,,5702014602724,673419130783,25.5,25.5,0.36,0.11,"",0,0,0,,0,0,,,,,,,,,13.0000,6.3400,"",""
"2010-2","Miscellaneous","Employee gift",2010,"Happy Holidays - The Christmas Game",,139,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,168.0000,59.4600,"",""
"2824-1","City","Seasonal",2010,"City Advent Calendar",6,271,24.99,34.99,39.99,,5702014602434,673419130028,38.2,26.19,7.06,0.43,"",0,0,0,,0,0,,,,,,,,,38.0500,11.0000,"",""
"3177-1","City","Traffic",2010,"Small Car",1,43,3.99,4.99,6.99,,5702014601819,673419129473,12.19,9.09,5.84,0.06,"",0,0,0,,0,0,,,,,,,,,16.5800,5.7500,"01/01/2010","31/12/2012"
"3178-1","City","General",2010,"Seaplane",1,102,8.49,10.99,14.99,,5702014601826,673419129480,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,22.5200,6.3000,"01/01/2010","31/12/2012"
"3179-1","City","Traffic",2010,"Repair Truck",1,118,9.99,12.99,17.99,,5702014601833,673419129497,26.19,14.1,6.1,0.21,"",0,0,0,,0,0,,,,,,,,,35.5500,13.6200,"01/01/2010","31/12/2011"
"3180-1","City","Traffic",2010,"Tank Truck",1,222,14.99,19.99,26.99,,5702014601840,673419129503,35.41,19.1,9.09,0.49,"",0,0,0,,0,0,,,,,,,,,91.0100,33.8800,"01/01/2010","31/12/2011"
"3181-1","City","Airport",2010,"Passenger Plane",3,309,35.99,39.99,54.99,,5702014601857,673419078382,48.01,28.19,7.39,0.76,"",0,0,0,,0,0,,,,,,,,,132.9000,45.4100,"01/01/2010","31/12/2012"
"3181-2","City","Airport",2010,"Passenger Plane - ANA version",3,309,,,,,,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,282.5400,,"01/01/2010","31/12/2012"
"3182-1","City","Airport",2010,"Airport",5,703,81.99,99.99,129.99,,5702014601864,673419129527,58.19,37.8,10.31,1.96,"",0,0,0,,0,0,,,,,,,,,227.8700,89.4700,"01/02/2010","31/12/2012"
"3221-1","City","Traffic",2010,"LEGO City Truck",2,278,29.99,34.99,44.99,,5702014601871,673419129534,48.01,28.19,6.1,0.68,"",0,0,0,,0,0,,,,,,,,,124.3100,48.4300,"01/06/2010","31/12/2012"
"3222-1","City","Airport",2010,"Helicopter and Limousine",4,267,19.99,29.99,39.99,,5702014602540,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,117.3900,45.9600,"01/02/2010","31/12/2010"
"3845-1","Games","",2010,"Shave A Sheep",,118,7.99,9.99,12.99,,5702014601475,,14.4,20,6.7,,"",0,0,0,,0,0,,,,,,,,,17.4200,6.2900,"01/03/2010","31/07/2012"
"3846-1","Games","",2010,"UFO Attack",1,88,7.99,,,,5702014601482,,14.4,20,6.7,,"",0,0,0,,0,0,,,,,,,,,,11.3500,"01/03/2010","31/12/2011"
"3847-1","Games","",2010,"Magma Monster",4,95,9.99,14.99,19.99,,5702014601499,673419129237,14.4,27.2,6.7,,"",0,0,0,,0,0,,,,,,,,,19.2000,8.5000,"01/03/2010","31/07/2011"
"3848-1","Games","",2010,"Pirate Plank",5,122,9.99,14.99,19.99,,5702014601505,673419129244,14.4,27.2,6.7,0.3,"",0,0,0,,0,0,,,,,,,,,36.0000,6.6300,"01/03/2010","31/12/2013"
"3849-1","Games","",2010,"Orient Bazaar",5,204,17.99,19.99,26.99,,5702014601512,,19.2,27.2,6.7,,"",0,0,0,,0,0,,,,,,,,,37.0300,15.0000,"01/08/2010","31/12/2011"
"3850-1","Games","",2010,"Meteor Strike",2,185,17.99,19.99,26.99,,5702014601529,673419129268,19.2,27.2,6.7,,"",0,0,0,,0,0,,,,,,,,,22.7000,11.0800,"01/08/2010","31/12/2011"
"3851-1","Games","",2010,"Atlantis Treasure",1,280,19.99,24.99,34.99,,5702014601536,673419129275,28.8,27.2,6.7,,"",0,0,0,,0,0,,,,,,,,,30.8600,14.6700,"01/08/2010","31/12/2011"
