Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"7-1","Basic","",1978,"Basic Building Set, 3+",,64,,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"8-1","Basic","",1978,"Basic Building Set, 3+",,93,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9-1","Basic","",1978,"Basic Building Set, 3+",,116,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,24.8400,"",""
"061-2","PreSchool","",1978,"Puppy",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"063-2","PreSchool","",1978,"Ducks",,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"086-1","PreSchool","",1978,"Tub Boat",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"164-1","Trains","4.5/12V",1978,"Passenger Coach",2,148,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,55.4600,"",""
"165-1","Trains","4.5/12V",1978,"Cargo Station",2,268,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,85.2100,"",""
"166-1","Trains","4.5/12V",1978,"Flat Wagon",2,53,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,265.8900,39.3300,"",""
"167-1","Trains","4.5/12V",1978,"Car Transport Wagon",2,102,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,42.2200,"",""
"205-2","Basic","",1978,"People Set",,120,,29,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,84.8100,38.3700,"",""
"208-1","Building Set with People","",1978,"Mother with baby",1,46,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,52.4700,10.0000,"",""
"230-1","Homemaker","",1978,"Hairdressing Salon",,215,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,161.6000,68.7200,"",""
"231-1","Homemaker","",1978,"Hospital",,379,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,97.3900,"",""
"232-1","Homemaker","",1978,"Bungalow",,445,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,430.8800,106.4900,"",""
"278-1","Homemaker","",1978,"Television Room",,104,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,57.9000,32.2200,"",""
"297-1","Homemaker","",1978,"Nursery",1,167,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,16.8500,"",""
"300-1","Town","Accessories",1978,"Road Plates, Junction",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,71.1100,25.7100,"",""
"301-1","Town","Accessories",1978,"Road Plates, Curved",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,37.5700,20.5200,"",""
"302-1","Town","Accessories",1978,"Road Plates, Straight",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.4100,24.3300,"",""
"316-1","LEGOLAND","Boats",1978,"Fire Fighting Launch",,133,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.1000,"",""
"330-2","Building Set with People","",1978,"Gas Station",,211,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.0000,45.0000,"",""
"340-2","Building Set with People","",1978,"Fire Trucks",,274,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,300.0000,35.0000,"",""
"374-1","Town","Classic",1978,"Fire Station",4,349,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,57.9500,"",""
"375-2","Castle","Classic",1978,"Castle",14,767,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3333.3300,306.0400,"",""
"376-2","Town","Classic",1978,"House with Garden",2,221,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,51.8200,"",""
"377-1","Town","Classic",1978,"Shell Service Station",2,179,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,289.9100,58.0200,"",""
"398-1","Hobby Set","",1978,"USS Constellation",,973,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,297.9000,"",""
"462-1","Space","Classic",1978,"Rocket Launcher",2,76,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,251.6700,36.5800,"",""
"483-1","Space","Classic",1978,"Alpha-1 Rocket Base",3,187,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,828.0000,139.0100,"",""
"487-1","Space","Classic",1978,"Space Cruiser",2,170,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,900.0000,317.2900,"",""
"493-1","Space","Classic",1978,"Space Command Centre",4,189,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,325.0000,"",""
"528-1","Duplo","",1978,"Building Set",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.5100,,"",""
"529-1","Duplo","",1978,"Animals",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.3600,"",""
"534-1","Duplo","",1978,"Bath-Toy Boat",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,77.5600,8.1100,"",""
"554-1","Town","Classic",1978,"Fuel Pumper",1,79,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,304.2400,30.0000,"",""
"575-1","Town","",1978,"Coast Guard Station",5,319,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,502.9700,189.9900,"",""
"575-2","Town","",1978,"Coast Guard Station (Canadian version)",5,284,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,135.0000,"",""
"590-1","Town","",1978,"Engine Co. No. 9",4,280,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,299.0000,70.0000,"",""
"600-2","Town","Classic",1978,"Police Car",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1076.3000,28.1500,"",""
"601-1","Town","Classic",1978,"Shell Filling Station",1,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,192.7800,19.0700,"",""
"602-1","Town","Classic",1978,"Fire Chief's Car",1,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,78.4100,5.5200,"",""
"603-1","Town","Classic",1978,"Motorbike",1,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.4700,"",""
