Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10517-1","Duplo","",2013,"My First Garden",1,38,9.99,12.99,12.99,,5702014972742,673419190466,19.1,19.1,12.8,0.5,"",0,0,0,,0,0,,,,,,,,,50.0000,17.2800,"",""
"10518-1","Duplo","Construction",2013,"My First Construction Site",2,43,14.99,19.99,19.99,19.99,5702014972759,673419190473,28.194,26.1874,9.5504,0.72,"",0,0,0,,0,0,,,,,,,,,25.1000,9.9900,"",""
"10519-1","Duplo","",2013,"Garbage Truck",1,16,15.99,19.99,24.99,,5702014999428,673419215886,,,,,"",0,0,0,,0,0,,,,,,,,,33.1900,21.8100,"",""
"10520-1","Duplo","",2013,"Big Front Loader",1,12,15.99,19.99,24.99,,5702014999435,673419215893,,,,,"",0,0,0,,0,0,,,,,,,,,51.1000,10.0000,"",""
"10550-1","Duplo","Circus",2013,"Circus Transport",1,9,14.99,19.99,24.99,,5702014973312,,,,,0.41,"",0,0,0,,0,0,,,,,,,,,45.0000,,"",""
"10552-1","Duplo","",2013,"Creative Cars",,40,14.99,19.99,19.99,14.99,5702014972766,673419215862,28.194,26.1874,9.5504,0.81,"",0,0,0,,0,0,,,,,,,,,33.2800,15.3200,"",""
"10553-1","Duplo","",2013,"Toddler Build and Play Cubes",,17,9.99,12.99,12.99,,5702014973176,673419190497,19.1,19.1,12.8,0.44,"",0,0,0,,0,0,,,,,,,,,16.6300,7.6800,"",""
"10554-1","Duplo","",2013,"Toddler Build and Pull Along",,15,14.99,14.99,14.99,19.99,5702014973183,673419190503,24.6126,13.0048,17.7038,0.53,"",0,0,0,,0,0,,,,,,,,,24.0100,10.0000,"",""
"10555-1","Duplo","",2013,"Creative Bucket",,65,19.99,29.99,39.99,,5702014973190,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10556-1","Duplo","",2013,"Creative Chest",2,106,39.99,44.99,49.99,,5702014973220,,41,28,19.5,,"",0,0,0,,0,0,,,,,,,,,27.7600,,"01/06/2013","31/12/2013"
"10557-1","Duplo","",2013,"Giant Tower",,200,49.99,59.99,69.99,,5702014973237,673419190756,,,,,"",0,0,0,,0,0,,,,,,,,,75.7100,46.1500,"",""
"10558-1","Duplo","Trains",2013,"Number Train",1,31,12.99,19.99,19.99,19.99,5702015154130,673419215879,35.4076,19.1008,9.0932,0.59474,"",0,0,0,,0,0,,,,,,,,,17.3900,8.1000,"",""
