Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10255-1","Creator Expert","Modular Buildings Collection",2017,"Assembly Square",9,4002,259.99,299.99,379.99,299.99,5702015865272,673419264358,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,228.8900,203.1000,"01/01/2017","31/12/2023"
"10256-1","Creator Expert","Landmarks",2017,"Taj Mahal",,5923,299.99,369.99,449.99,321.67,5702016173536,,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,388.0700,252.6600,"01/12/2017","31/12/2020"
"10257-1","Creator Expert","Fairground Collection",2017,"Carousel",7,2670,159.99,199.99,249.99,179.99,5702015865289,,57.8,47.5,8.5,,"",0,0,0,,0,0,,,,,,,,,342.0800,301.1000,"01/06/2017","31/12/2019"
"10258-1","Creator Expert","Vehicles",2017,"London Bus",,1686,109.99,139.99,179.99,119.99,5702015865296,,47.5,37.4,10.7,,"",0,0,0,,0,0,,,,,,,,,116.6300,100.3700,"01/08/2017","31/12/2021"
"10259-1","Creator Expert","Winter Village Collection",2017,"Winter Village Station",5,902,74.99,79.99,99.99,69.99,5702015865302,,47.8,28.1,7.3,,"",0,0,0,,0,0,,,,,,,,,178.5300,165.5800,"01/10/2017","31/12/2018"
"10703-1","Classic","Creative Box",2017,"Creative Builder Box",,502,19.99,,,24.99,5702015868860,673419267366,26.2,22.2,14.3,,"",0,0,0,,0,0,,,,,,,,,39.6300,22.0000,"01/01/2017","31/12/2018"
"10704-1","Classic","Creative Box",2017,"Creative Box",,900,29.99,,,34.99,5702015869379,673419267373,26,38,14,,"",0,0,0,,0,0,,,,,,,,,29.9900,15.0000,"01/01/2017","31/12/2018"
"10706-1","Classic","Creative Box",2017,"Blue Creative Box",,78,4.99,4.99,6.99,4.99,,673419267380,12.192,9.0932,7.7978,0.113398,"",0,0,0,,0,0,,,,,,,,,4.8500,2.3700,"01/01/2017","31/12/2018"
"10707-1","Classic","Creative Box",2017,"Red Creative Box",,55,4.99,4.99,6.99,4.99,,673419267397,12.192,9.0932,7.7978,0.0907184,"",0,0,0,,0,0,,,,,,,,,8.2300,3.7600,"01/01/2017","31/12/2018"
"10708-1","Classic","Creative Box",2017,"Green Creative Box",,66,4.99,4.99,6.99,4.99,,673419267403,12.192,9.0932,7.7978,0.09525432,"",0,0,0,,0,0,,,,,,,,,5.0000,3.7600,"01/01/2017","31/12/2018"
