Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"200-4","System","Town Plan",1959,"LEGO Town Plan Board, Continental European Cardboard Version",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,46.0500,"",""
"280-1","System","Supplemental",1959,"Sloping Roof Bricks, Red",,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.9900,19.0600,"",""
"280-2","System","Supplemental",1959,"Sloping Roof Bricks, Blue",,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.3700,,"",""
"281-1","System","Supplemental",1959,"1 x 2 and 3 x 2 Sloping Bricks, Red",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,21.4700,"",""
"281-2","System","Supplemental",1959,"1 x 2 and 3 x 2 Sloping Bricks, Blue",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.6500,"",""
"282-1","System","Supplemental",1959,"2 x 2 Sloping Roof Bricks, Red",,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,15.4000,"",""
"282-2","System","Supplemental",1959,"2 x 2 Sloping Roof Bricks, Blue",,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.0700,"",""
"VWKIT-1","System","Basic Set",1959,"Volkswagen Kit",,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,238.5500,"",""







