Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"710-3","Basic","",1983,"Basic Building Set, 7+",2,364,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,218.1600,70.8400,"",""
"757-1","Gear","Storage",1983,"Storage Tray Red",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,14.4600,"",""
"758-1","Gear","Storage",1983,"Storage Tray Blue",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.6200,"",""
"1031-1","Dacta","",1983,"Building Cards - 1030",,20,,15.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,17.5400,"",""
"1055-1","Dacta","",1983,"Mini Basic Pack",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1126-1","Service Packs","",1983,"Jack",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.9700,0.7700,"",""
"1161-1","Service Packs","Technic",1983,"Pump cylinder",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.9900,,"",""
"1593-1","Space","Classic",1983,"Super Model Building Instructions",2,313,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,220.8400,"",""
"1907-1","Duplo","",1983,"Crecer Feliz Giftbox",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1911-1","Basic","",1983,"Basic Set",,34,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.5000,,"",""
"1912-1","Basic","",1983,"Car",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.9900,2.0000,"",""
"1913-1","Basic","",1983,"Boat",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.9900,1.4900,"",""
"1914-1","Basic","",1983,"Helicopter",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.0000,3.0000,"",""
