Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10260-1","Creator Expert","Modular Buildings Collection",2018,"Downtown Diner",6,2480,129.99,169.99,219.99,149.99,5702016111842,,58,37.5,9.8,,"",0,0,0,,0,0,,,,,,,,,276.8500,251.3200,"01/01/2018","31/12/2020"
"10261-1","Creator Expert","Fairground Collection",2018,"Roller Coaster",11,4124,299.99,379.99,479.99,329.99,5702016111835,,58.1,48.6,18.6,5.8,"",0,0,0,,0,0,,,,,,,,,361.9200,329.1700,"01/06/2018","31/12/2021"
"10262-1","Creator Expert","Vehicles",2018,"James Bond Aston Martin DB5",,1290,129.99,149.99,179.99,149.99,5702016111828,,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,178.5900,130.3300,"01/08/2018","31/12/2021"
"10263-1","Creator Expert","Winter Village Collection",2018,"Winter Village Fire Station",8,1166,84.99,99.99,129.99,87.72,5702016111811,,47.7,28,8.7,1.365,"",0,0,0,,0,0,,,,,,,,,111.9400,121.2400,"01/10/2018","31/12/2020"
"10268-1","Creator Expert","Vestas",2018,"Vestas Wind Turbine",3,826,159.99,199.99,249.99,175.45,5702016351682,,37.5,47.5,10.7,2.156,"",0,0,0,,0,0,,,,,,,,,234.9300,184.0000,"23/11/2018","31/12/2020"
"10401-1","Classic","Building Bigger Thinking",2018,"Rainbow Fun",,85,4.99,4.99,5.99,4.99,5702016176346,,12.2,9.1,5.9,,"",0,0,0,,0,0,,,,,,,,,7.2400,4.2500,"01/01/2018","31/12/2018"
"10402-1","Classic","Building Bigger Thinking",2018,"Fun Future",1,186,8.99,9.99,12.99,9.99,5702016176353,673419292511,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,10.6300,4.6900,"01/01/2018","31/12/2018"
"10403-1","Classic","Building Bigger Thinking",2018,"World Fun",2,295,14.99,19.99,24.99,19.99,5702016176360,673419292528,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,21.1700,6.7000,"01/01/2018","31/12/2018"
"10404-1","Classic","Building Bigger Thinking",2018,"Ocean's Bottom",2,579,24.99,29.99,34.99,29.99,5702016176575,673419292535,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,24.4900,23.5000,"01/01/2018","31/12/2018"
"10405-1","Classic","Building Bigger Thinking",2018,"Mission to Mars",3,871,44.99,59.99,69.99,49.99,5702016176582,673419292542,37,26.2,18,,"",0,0,0,,0,0,,,,,,,,,51.8900,29.6900,"01/01/2018","31/12/2018"
"10712-1","Classic","Bricks",2018,"Bricks and Gears",,244,17.99,19.99,24.99,19.99,5702016111347,673419282901,26.2,19.1,6.1,0.4,"",0,0,0,,0,0,,,,,,,,,24.4900,16.9600,"01/01/2018","31/12/2019"
"10713-1","Classic","Miscellaneous",2018,"Creative Suitcase",,213,17.99,19.99,24.99,19.99,5702016111330,673419282895,28.5,26.2,6.4,0.84,"",0,0,0,,0,0,,,,,,,,,19.8700,11.0100,"01/01/2018","31/12/2025"
"10714-1","Classic","Baseplates",2018,"Blue Baseplate",,1,7.99,7.99,9.99,8.99,5702016111927,673419283380,26,26.5,0.3,0.1,"",0,0,0,,0,0,,,,,,,,,6.4100,5.5900,"",""
"10715-1","Classic","Bricks",2018,"Bricks on a Roll",,442,19.99,,,24.99,5702016111910,,26.2,22.2,14.3,,"",0,0,0,,0,0,,,,,,,,,27.6200,11.2000,"01/01/2018","31/07/2021"
"10717-1","Classic","Bricks",2018,"Bricks Bricks Bricks",,1500,49.99,59.99,79.99,59.99,5702016111903,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,61.8900,44.5000,"01/06/2018","31/12/2021"
"10748-1","Juniors","Friends",2018,"Emma's Pet Party",1,67,8.99,9.99,12.99,9.99,5702016092790,673419280082,,,,,"",0,0,0,,0,0,,,,,,,,,8.9000,,"",""
"10749-1","Juniors","Friends",2018,"Mia's Organic Food Market",1,115,17.99,19.99,24.99,19.99,5702016092998,673419279864,,,,,"",0,0,0,,0,0,,,,,,,,,14.7900,15.0000,"",""
"10750-1","Juniors","City",2018,"Road Repair Truck",1,73,8.99,9.99,12.99,9.99,5702016092974,673419279888,15.5,14,4.4,0.15,"",0,0,0,,0,0,,,,,,,,,16.9300,8.0600,"",""
"10751-1","Juniors","City",2018,"Mountain Police Chase",2,115,17.99,19.99,24.99,19.99,5702016092981,673419279871,26.2,19.1,4.6,0.33,"",0,0,0,,0,0,,,,,,,,,18.5100,15.0200,"",""
"10753-1","Juniors","DC Comics Super Heroes",2018,"The Joker Batcave Attack",3,151,24.99,24.99,29.99,29.99,5702016116991,673419284066,26.2,19.1,7.2,0.41,"",0,0,0,,0,0,,,,,,,,,22.0000,20.0000,"01/01/2018","31/12/2019"
"10754-1","Juniors","Marvel Super Heroes",2018,"Spider-Man vs. Scorpion Street Showdown",2,125,19.99,19.99,24.99,22.99,5702016117332,673419284073,26.2,19.1,4.6,0.34,"",0,0,0,,0,0,,,,,,,,,43.2900,16.4300,"01/01/2018","31/07/2019"
"10755-1","Juniors","Ninjago",2018,"Zane's Ninja Boat Pursuit",2,131,17.99,19.99,24.99,19.99,5702016117349,673419284080,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,24.0900,9.1300,"01/01/2018","31/12/2018"
"10756-1","Juniors","Jurassic World: Fallen Kingdom",2018,"Pteranodon Escape",2,84,19.99,19.99,24.99,22.99,5702016117356,673419284097,26.2,19.1,4.6,0.27,"",0,0,0,,0,0,,,,,,,,,24.1300,17.0000,"16/04/2018","31/12/2019"
"10757-1","Juniors","Jurassic World: Fallen Kingdom",2018,"Raptor Rescue Truck",2,85,24.99,24.99,29.99,29.99,5702016117363,673419284103,26.2,19.1,4.6,0.31,"",0,0,0,,0,0,,,,,,,,,27.4100,16.0000,"16/04/2018","31/12/2019"
"10758-1","Juniors","Jurassic World: Fallen Kingdom",2018,"T. rex Breakout",3,150,44.99,49.99,59.99,49.99,5702016117578,673419284110,38.2,26.2,5.65,0.67,"",0,0,0,,0,0,,,,,,,,,85.8000,36.7400,"16/04/2018","31/12/2019"
"10759-1","Juniors","Incredibles 2",2018,"Elastigirl's Rooftop Pursuit",2,95,19.99,19.99,24.99,24.99,5702016117585,673419284127,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,25.8400,22.8800,"20/04/2018","31/12/2018"
"10760-1","Juniors","Incredibles 2",2018,"Underminer Bank Heist",3,149,24.99,24.99,29.99,29.99,5702016117592,673419284134,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,34.6500,29.6400,"20/04/2018","31/12/2018"
