Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"722-1","Basic","",1980,"Universal Building Set, 7+",,301,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,198.7900,47.1000,"",""
"733-1","Basic","",1980,"Universal Building Set, 7+",,533,,39,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,279.7500,78.1400,"",""
"744-1","Basic","",1980,"Universal Building Set with Motor, 7+",,537,,59,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,684.1800,85.0400,"",""
"820-1","Basic","Supplementaries",1980,"Red Plates Parts Pack",,34,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.0600,,"",""
"822-1","Basic","Supplementaries",1980,"Blue Plates Parts Pack",,34,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.0600,5.1500,"",""
"830-1","Basic","Supplementaries",1980,"Red Bricks Parts Pack",,46,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.0600,4.2900,"",""
"831-1","Basic","Supplementaries",1980,"Black Bricks Parts Pack",,46,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0700,,"",""
"832-1","Basic","Supplementaries",1980,"Blue Bricks Parts Pack",,46,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.0000,,"",""
"833-1","Basic","Supplementaries",1980,"White Bricks Parts Pack",,46,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.1200,4.2900,"",""
"834-1","Basic","Supplementaries",1980,"Yellow Bricks Parts Pack",,46,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,,"",""
"836-1","Basic","Supplementaries",1980,"Doors and Windows Parts Pack",,37,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,7.8800,"",""
"837-1","Basic","Supplementaries",1980,"Wheels and Tyres Parts Pack",,28,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.8600,1.5900,"",""
"838-1","Basic","Supplementaries",1980,"Red Roof Bricks Parts Pack, 45°",,58,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.3100,23.1200,"",""
"839-1","Basic","Supplementaries",1980,"Red Roof Bricks Parts Pack, 33°",,42,,4.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.6000,3.8800,"",""
"840-1","Basic","Supplementaries",1980,"Baseplate, Green",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.8100,8.0500,"",""
"841-1","Basic","Supplementaries",1980,"Baseplates, Green and Yellow",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.4200,3.2800,"",""
"842-1","Basic","Supplementaries",1980,"Baseplates, Red and Blue",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7100,0.5500,"",""
"843-1","Basic","Supplementaries",1980,"Baseplate, Grey",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"858-1","Technic","",1980,"Auto Engines",,242,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,50.5900,"",""
"1005-1","Education","",1980,"Wallboard/baseplate 40x80cm",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1041-2","Dacta","",1980,"Educational Duplo Building Set",,68,,36.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1050-2","Dacta","",1980,"Universal set for boys and girls",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,70.6000,"",""
"1062-1","Dacta","",1980,"{Town Vehicles}",6,172,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,23.5800,"",""
"1075-1","Dacta","",1980,"LEGO People Supplementary Set",,304,,14.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1076-2","Dacta","",1980,"LEGO Car and Truck Supplementary Set",,,,14.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1101-1","Service Packs","",1980,"Replacement 4.5V Motor",,1,,5.65,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0800,5.9400,"",""
"1103-1","Service Packs","",1980,"Battery Box",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.3000,13.4200,"",""
"1104-1","Service Packs","",1980,"Two Connector Leads",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7900,,"",""
"1106-1","Service Packs","Trains",1980,"Battery Tender for Trains",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,18.2100,"",""
"1107-1","Service Packs","Trains",1980,"Two Shunting Trip-Posts and One Signal",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.0600,20.5700,"",""
"1108-1","Service Packs","Trains",1980,"Two Pairs of Magnetic Couplings",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.5100,,"",""
"1111-1","Service Packs","Trains",1980,"Eight Rubber Rims for Locomotive Wheels",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.6900,8.4300,"",""
"1113-1","Service Packs","",1980,"Motor Frame 6 x 16 Stud Plus Four Buffers",,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.5500,,"",""
"1114-1","Service Packs","",1980,"Motor Frame 6 x 22 Stud",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.2500,16.5400,"",""
"1115-1","Service Packs","",1980,"Lighting Brick, 4.5V",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.9000,3.0000,"",""
"1120-1","Service Packs","",1980,"Two Tyres, 42 mm Diameter",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.0800,,"",""
"1122-1","Service Packs","",1980,"Hinge Units",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3900,,"",""
"1123-1","Service Packs","",1980,"Ball and Socket Couplings & One Articulated Joint",,8,,16,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.6700,8.9900,"",""
"1125-1","Service Packs","",1980,"Crane Grab Assembly",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.2200,,"",""
"1129-2","Service Packs","",1980,"Spread Bag",,34,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.9700,3.4200,"",""
"1130-1","Service Packs","",1980,"Plastic Folder for Building Instructions",,1,,14,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,9.6400,"",""
"1591-1","Town","Special",1980,"Danone Delivery Truck",,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,120.0000,33.3700,"",""
"1592-1","Town","Classic",1980,"Town Square - Castle Scene",11,471,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1961.1600,160.2900,"",""
"1651-2","Town","Special",1980,"Maersk Line Container Lorry",1,305,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2708.3900,842.8800,"",""
"2053-1","Duplo","",1980,"Rock 'n' Roll Pull-Toy",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2056-1","Duplo","",1980,"Rock 'n' Rattle Pull-Toy",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2620-1","Duplo","",1980,"Sports Car",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.0400,"",""
"2623-1","Duplo","",1980,"Delivery Van",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.2000,"",""
"2625-1","Duplo","",1980,"Car with Boat and Trailer",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.3100,5.6500,"",""
"2627-1","Duplo","",1980,"Pony Trailer",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.0400,"",""
"2630-1","Duplo","",1980,"Family Room",3,9,,13.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2640-1","Duplo","",1980,"Grocery Store",2,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,49.0900,"",""
"2643-2","Duplo","",1980,"Playbox",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2645-1","Duplo","",1980,"Nursery School",6,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,49.5200,"",""
"2650-1","Duplo","",1980,"Farm",5,60,,14.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,85.4200,"",""
"3602-1","Fabuland","",1980,"Pram - Lisa Lamb Goes Walking",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.9800,"",""
"3604-1","Fabuland","",1980,"Mark Monkey with his Fruit Stall",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,45.0000,7.5500,"",""
"3605-1","Fabuland","",1980,"Ricky Racoon and his Scooter",1,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.1200,3.2900,"",""
"3634-1","Fabuland","",1980,"Charlie Crow's Carry-All",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,109.9000,10.0300,"",""
"3665-1","Fabuland","",1980,"Harry Horse and Clara Cow's Ice Cream Shoppe",2,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,387.7500,21.6800,"",""
"4306-1","Scala","Jewellery",1980,"Rings",,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4307-1","Scala","Jewellery",1980,"Rings",,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,192.6400,"",""
"4336-1","Scala","Jewellery",1980,"Picture Frame and Mirror",,52,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,165.2800,103.3600,"",""
"5233-1","Homemaker","",1980,"Bedroom",1,26,,4.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.6500,85.0000,"",""
"6000-1","Books","LEGO",1980,"LEGOLAND Idea Book",,,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
