Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"125-2","Universal Building Set","",1974,"Universal Building Set",,234,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,119.0000,,"",""
"145-1","Universal Building Set","",1974,"Universal Building Set",,338,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,250.4100,69.0000,"",""
"196-1","Building Set with People","",1974,"Antique Car",,115,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,47.4800,"",""
"200-1","Building Set with People","",1974,"LEGO Family",,49,1.25,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,90.7800,20.1400,"",""
"250-3","Building Set with People","",1974,"Aeroplane and pilot",,90,1.4,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,81.1200,20.0000,"",""
"251-1","Building Set with People","",1974,"Windmill with miller and wife",,92,1.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.6700,18.1000,"",""
"252-1","Building Set with People","",1974,"Locomotive with driver and passenger",,121,2.4,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,61.7800,7.5300,"",""
"263-1","Homemaker","",1974,"Kitchen",,257,2.45,9,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,98.9400,30.7500,"",""
"264-1","Homemaker","",1974,"Living Room",,242,2.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,98.9400,34.4800,"",""
"265-1","Homemaker","",1974,"Bathroom",,147,1.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.9900,33.8200,"",""
"266-1","Homemaker","",1974,"Children's room",,235,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,128.9500,30.7100,"",""
"274-1","Homemaker","",1974,"Colour TV and chair",,68,0.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,42.3100,7.0300,"",""
"275-1","Homemaker","",1974,"Table and chairs",,92,0.5,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,18.1200,"",""
"294-1","Homemaker","",1974,"Wall unit",,63,0.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,60.0000,16.6700,"",""
"295-1","Homemaker","",1974,"Secretary's desk",,128,0.85,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,89.0000,34.1900,"",""
"360-1","LEGOLAND","",1974,"Gravel Works",,211,4.55,14,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,354.2000,52.9800,"",""
"361-1","LEGOLAND","Town",1974,"Tea Garden Cafe",,209,2.45,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,271.2600,99.9900,"",""
"612-1","LEGOLAND","",1974,"Tipper Truck",,23,0.38,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,48.0000,4.4400,"",""
"613-1","LEGOLAND","Town",1974,"Bi-plane",,18,0.38,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,73.4300,3.4800,"",""
"614-1","LEGOLAND","",1974,"Digger",,31,0.38,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.1400,"",""
"656-1","LEGOLAND","",1974,"Car and Caravan",,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.8100,13.2500,"",""
"657-1","LEGOLAND","",1974,"Aircraft",,37,0.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,33.7700,6.8800,"",""
"658-1","LEGOLAND","Vehicle",1974,"Fire Engine",,38,0.65,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,32.6300,"",""
"689-1","LEGOLAND","",1974,"Grabber",,46,0.98,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.6200,"",""
"690-1","LEGOLAND","",1974,"Shell Garage",,73,0.98,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,78.8500,23.0600,"",""
"691-1","LEGOLAND","Town",1974,"Rescue Helicopter",,62,0.98,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,113.2200,9.0400,"",""
