Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"106-1","Town","Special",1985,"UNICEF Van",1,59,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,1678.6300,"",""
"107-2","Town","Special",1985,"Mail Truck",1,124,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1238.8500,180.0000,"",""
"200-2","Books","LEGO",1985,"Building Ideas Book",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"293-2","Basic","",1985,"Basic Building Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"304-1","Basic","",1985,"Basic Building Set, 3+",,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.0000,,"",""
"308-2","Basic","",1985,"Basic Building Set, 3+",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"310-4","Basic","",1985,"Basic Building Set, 3+",,46,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.1300,1.8400,"",""
"320-1","Basic","",1985,"Basic Building Set, 3+",1,77,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,44.3300,21.2100,"",""
"330-1","Basic","",1985,"Basic Building Set, 3+",2,156,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.4000,16.1000,"",""
"340-1","Basic","",1985,"Basic Building Set, 3+",2,214,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,80.3800,27.6800,"",""
"350-2","Basic","",1985,"Basic Building Set, 3+",4,311,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,41.8600,"",""
"504-1","Basic","",1985,"Basic Building Set, 5+",,41,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.6500,,"",""
"508-1","Basic","",1985,"Basic Building Set, 5+",,66,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.9900,,"",""
"510-1","Basic","",1985,"Basic Building Set, 5+",,98,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,7.0000,"",""
"520-1","Basic","",1985,"Basic Building Set, 5+",1,165,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.2700,9.8100,"",""
"530-1","Basic","",1985,"Basic Building Set, 5+",2,269,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,111.0100,20.0000,"",""
"540-1","Basic","",1985,"Basic Building Set, 5+",2,626,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,137.5300,77.7700,"",""
"550-1","Basic","",1985,"Basic Building Set, 5+",2,569,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,233.8700,54.7500,"",""
"720-1","Basic","",1985,"Basic Building Set, 7+",1,334,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,199.9900,38.2100,"",""
"730-2","Basic","",1985,"Basic Building Set, 7+",2,412,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,332.6500,48.4500,"",""
"740-1","Basic","",1985,"Basic Building Set, 7+",,525,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,251.1600,69.4300,"",""
"783-1","Gear","Storage",1985,"Storage Case",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.0000,"",""
"810-1","Basic","Supplementaries",1985,"Basic Motor Set",,34,,26.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,77.1100,19.1800,"",""
"895-1","Basic","Supplementaries",1985,"Wind-Up Motor",,10,,9.5,,,5702010908950,,,,,,"",0,0,0,,0,0,,,,,,,,,22.3100,4.9300,"",""
"1013-1","Dacta","",1985,"Numbers - 6 symbols",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1015-1","Dacta","",1985,"Letters Large",,192,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1016-1","Dacta","",1985,"Letter Bricks for Wall Board",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1018-1","Dacta","",1985,"Letters Small",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1024-1","Dacta","",1985,"Animals - 32 elements",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1025-1","Dacta","",1985,"Figures and Furniture",6,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1026-1","Dacta","",1985,"Play Boxes from 2 yrs",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1027-1","Dacta","",1985,"Vehicles",6,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1033-1","Dacta","",1985,"Building Cards - 1032",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.0500,7.7700,"",""
"1034-1","Dacta","Technic",1985,"Teachers Resource Set",,1501,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,552.6900,269.3300,"",""
"1036-1","Books","LEGO",1985,"Teacher's Guide to TECHNIC II",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1038-1","Dacta","Technic",1985,"Universal Buggy - I",,117,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.0000,27.4500,"",""
"1049-1","Dacta","",1985,"Ships",3,241,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1056-1","Dacta","",1985,"Basic School Pack - Topical/Thematic work",,809,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,77.5300,"",""
"1063-1","Dacta","Town",1985,"Community Workers",24,115,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1065-1","Dacta","",1985,"House Accessories",,184,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1067-1","Dacta","",1985,"Community Vehicles",14,203,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,275.0000,"",""
"1085-1","Dacta","",1985,"Large Baseplate 48 x 48",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.3400,"",""
"1087-1","Dacta","",1985,"6 Lego Baseplates 8 x 16 Green",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1089-1","Dacta","",1985,"Lego Basic Figures",24,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1512-2","Basic","Universal Building Set",1985,"Basic Set with Storage Case",1,99,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1520-1","Basic","",1985,"Basic Building Set with Storage Case",1,210,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1537-2","Duplo","",1985,"Rattle Round with Ball",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1538-2","Duplo","",1985,"Building Bricks",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1539-2","Duplo","",1985,"Building Bricks with Figure",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1545-2","Universal Building Set","",1985,"Race Car",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1546-1","Universal Building Set","",1985,"Aircraft",1,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.9000,,"",""
"1548-2","Universal Building Set","",1985,"Helicopter",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.0000,1.4900,"",""
"1549-2","Universal Building Set","",1985,"Boat",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1550-2","Duplo","",1985,"Basic Set",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7700,,"",""
"1551-1","Basic","",1985,"Duck",,6,,0.4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.3300,1.5000,"",""
"1552-1","Town","Special",1985,"Maersk Truck and Trailer Unit",1,352,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,310.5000,"",""
"1560-3","Basic","Universal Building Set",1985,"Basic Building Set",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0000,,"",""
"1562-2","Basic","",1985,"Basic Building Set",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.2500,,"",""
"1655-1","Promotional","Ferries",1985,"Viking Line Ferry",,176,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,107.2300,"",""
"1957-1","Duplo","",1985,"Building Set with Storage Bunny",2,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1958-2","Duplo","",1985,"Basic Model",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1959-2","Duplo","",1985,"Basic Model",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1960-2","Basic","Universal Building Set",1985,"Special Value Set",1,96,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1961-1","Basic","",1985,"Basic Set with Storage Case",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1962-1","Basic","",1985,"Basic Building Set",1,211,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1964-1","Basic","",1985,"Basic Building Set",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1965-1","Basic","",1985,"Building Set, Trial Size Offer",1,32,,1.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.2000,,"",""
"1966-1","Town","Special",1985,"Car Repair Shop",2,296,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,956.7900,64.4300,"",""
"1967-2","Town","Bonus/Value Pack",1985,"Town Value Pack",,149,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1774.1900,,"",""
"1968-1","Space","Classic",1985,"Heavy Payload Spacecraft (Schwernutzlast-Raumschiff)",2,177,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1250.0000,287.0500,"",""
"1969-2","Space","Bonus/Value Pack",1985,"Space Value Pack",,151,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,430.0000,,"",""
"1972-1","Technic","",1985,"Go-Kart",,98,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,129.2900,10.9600,"",""
"1975-1","Duplo","Bonus/Value Pack",1985,"Combi Pack",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1997-1","Town","Bonus/Value Pack",1985,"Town Value Pack",,97,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1999-1","Space","Bonus/Value Pack",1985,"Space Value Pack",,84,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2033-1","Duplo","Baby",1985,"Clown Shape Sorter",,7,,,,,,664346020339,,,,,"",0,0,0,,0,0,,,,,,,,,,14.0700,"",""
"2301-1","Duplo","",1985,"Baseplates, Red",,2,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3800,,"",""
"2315-1","Duplo","",1985,"Pre-School Basic Building Set",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2403-1","Duplo","",1985,"Fire Chief Building Set",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.9500,,"",""
"2412-1","Duplo","",1985,"Boat Yard Building Set",2,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2610-1","Duplo","",1985,"Yellow Car",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.9400,7.3500,"",""
"2611-1","Duplo","",1985,"Fire Engine",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,7.4800,"",""
"2629-1","Duplo","",1985,"Tractor and Farm Machinery",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.7900,20.0000,"",""
"2631-1","Duplo","",1985,"Stunt Pilot and Plane",1,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.4600,"",""
"2647-1","Duplo","",1985,"Farm Animals",1,17,,12,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,17.6900,"",""
"2655-1","Duplo","",1985,"Farm Set",2,54,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,65.0000,"",""
"3624-1","Fabuland","",1985,"Flower Car",1,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,191.6500,21.0400,"",""
"3625-1","Fabuland","",1985,"Sandy Seagull's Aeroplane",1,8,,5.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,61.4000,11.7900,"",""
