Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"630-3","Bricks and More","Accessories",2011,"Brick Separator, Orange",,1,2.19,2.49,2.99,2.49,673419182195,673419182195,,,,,"",0,0,0,,0,0,,,,,,,,,0.4800,0.2600,"",""
"2011-2","Miscellaneous","Employee gift",2011,"LEGO Duck",,91,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,238.3900,99.7800,"",""
"2063-1","HERO Factory","Ordeal of Fire",2011,"Stormer 2.0",,31,7.99,7.99,10.99,,,673419145381,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,29.9900,11.3300,"01/01/2011","31/12/2011"
"2065-1","HERO Factory","Ordeal of Fire",2011,"Furno 2.0",,30,7.99,7.99,10.99,,,673419145398,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,37.5700,9.4000,"01/01/2011","31/12/2011"
"2067-1","HERO Factory","Ordeal of Fire",2011,"Evo 2.0",,31,7.99,7.99,10.99,,,673419145404,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,31.8300,11.0500,"01/01/2011","31/12/2011"
"2068-1","HERO Factory","Ordeal of Fire",2011,"Nex 2.0",,31,7.99,7.99,10.99,,,673419145411,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,33.5800,9.4000,"01/01/2011","31/12/2011"
"2111-1","Ninjago","Spinners",2011,"Kai",1,19,7.49,9.99,12.99,,,673419143790,17.2,23.01,2.79,0.1,"",0,0,0,,0,0,,,,,,,,,57.0500,5.8400,"01/01/2011","31/07/2011"
"2112-1","Ninjago","Spinners",2011,"Cole",1,19,7.49,9.99,12.99,,,673419144667,17.2,23.01,2.79,0.1,"",0,0,0,,0,0,,,,,,,,,50.9900,5.6200,"01/01/2011","30/04/2011"
"2113-1","Ninjago","Spinners",2011,"Zane",1,19,7.49,9.99,,,,673419144674,17.2,23.01,2.79,0.1,"",0,0,0,,0,0,,,,,,,,,29.9900,9.7700,"01/01/2011","30/04/2011"
"2114-1","Ninjago","Spinners",2011,"Chopov",1,20,7.49,9.99,12.99,,,673419144681,17.2,23.01,2.79,0.1,"",0,0,0,,0,0,,,,,,,,,13.9500,4.7100,"01/01/2011","30/04/2011"
