Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1166-1","Duplo","",2003,"Stack-n-Learn Gift Item",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,14.9600,"",""
"1385-1","Clikits","",2003,"Clikits Bracelet",,13,1.49,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.0000,,"",""
"1431-1","Bionicle","Bohrok Va",2003,"Tahnok Va",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3300,6.7900,"",""
"1432-1","Bionicle","Bohrok Va",2003,"Nuhvok Va",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3300,20.0000,"",""
"1433-1","Bionicle","Bohrok Va",2003,"Gahlok Va",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3300,5.9600,"",""
"1434-1","Bionicle","Bohrok Va",2003,"Lehvak Va",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.3300,20.9800,"",""
"1441-1","Bionicle","Rahi",2003,"Fikou",,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.2400,9.6900,"",""
"1729-2","Gear","Pens",2003,"Luke Skywalker pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1730-2","Gear","Pens",2003,"Paploo pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1731-2","Gear","Pens",2003,"Storm Trooper pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1732-2","Gear","Pens",2003,"Obi-Wan Kenobi pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1733-2","Gear","Pens",2003,"Tusken Raider pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1734-2","Gear","Pens",2003,"Yoda pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3219-1","Star Wars","Mini Building Set",2003,"Mini TIE Fighter",,12,,,,,5702014282230,673419020190,14,14,1,,"",0,0,0,,0,0,,,,,,,,,6.5300,2.1100,"01/11/2002","31/12/2003"
"3223-1","Creator","Designer Set",2003,"Little Fish",,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.0000,4.2000,"",""
"3284-1","Explore","Bob the Builder",2003,"Bob's Busy Day",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,4.7500,"",""
"3285-1","Explore","Bob the Builder",2003,"Wendy in the Office",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.1700,13.2000,"",""
"3286-1","Explore","Bob the Builder",2003,"Spud and Bird",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,7.0000,"",""
"3287-1","Bionicle","Warriors",2003,"Takutanuva",,399,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,492.1500,185.3300,"",""
"3380-1","Adventurers","Orient Expedition",2003,"Johnny Thunder",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.7400,,"",""
"3381-1","Adventurers","Orient Expedition",2003,"Sam Sinister",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.8600,23.4000,"",""
"3382-1","Adventurers","Orient Expedition",2003,"China Girl",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.9800,10.0100,"",""
"3383-1","World City","Trains",2003,"Chef",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.3000,2.7200,"",""
"3384-1","World City","Trains",2003,"Construction Worker",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.8200,1.8800,"",""
"3385-1","World City","Trains",2003,"Train Conductor",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.2600,15.0000,"",""
"3386-1","Island Xtreme Stunts","Promotional",2003,"Pepper Roni",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.3000,15.0000,"",""
"3387-1","Island Xtreme Stunts","Promotional",2003,"Brickster",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.4400,,"",""
"3388-1","Island Xtreme Stunts","Promotional",2003,"Beach Dude",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.4400,,"",""
"3389-1","Sports","Gravity Games",2003,"Skater Boy",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.3000,15.0000,"",""
"3390-1","Sports","Basketball",2003,"Street Basket",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.8700,,"",""
"3391-1","Alpha Team","Mission Deep Sea",2003,"Dash the Diver",1,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.0400,,"",""
"3420-2","Sports","Football",2003,"Championship Challenge II (Bayern Munich FC Edition)",12,389,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3422-2","Sports","Football",2003,"Shoot 'n' Save (Bayern Munich FC Edition)",2,110,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3427-1","Sports","Basketball",2003,"NBA Slam Dunk",1,53,4.99,8,,,,673419018333,14.4,14.4,6,,"",0,0,0,,0,0,,,,,,,,,40.0000,15.4600,"01/01/2003","01/06/2004"
"3428-1","Sports","Basketball",2003,"One vs. One Action",2,39,7.99,10,,,,673419018340,19.2,14.4,6,,"",0,0,0,,0,0,,,,,,,,,60.1000,24.5100,"01/01/2003","30/06/2004"
"3429-1","Sports","Basketball",2003,"Ultimate Defense",2,82,9.99,15,,,5702014264984,,19.2,19.2,6,,"",0,0,0,,0,0,,,,,,,,,46.1700,26.7100,"01/01/2003","31/12/2003"
"3430-1","Sports","Basketball",2003,"Spin & Shoot",2,71,9.99,,,,5702014265097,,19.2,19.2,6,,"",0,0,0,,0,0,,,,,,,,,75.4200,21.7200,"01/01/2003","31/12/2003"
"3431-1","Sports","Basketball",2003,"Street Ball 2 vs. 2",4,186,14.99,20,,,5702014265103,673419018371,28.8,19.2,7.2,0.45,"",0,0,0,,0,0,,,,,,,,,140.0000,41.3300,"01/01/2003","31/12/2004"
"3432-1","Sports","Basketball",2003,"NBA Challenge",10,451,39.99,50,,,,673419018388,48,28.8,9.6,1.18,"",0,0,0,,0,0,,,,,,,,,196.9700,99.0900,"01/01/2003","31/12/2004"
"3433-1","Sports","Basketball",2003,"The Ultimate NBA Arena",10,491,69.99,80,,,5702014265127,,48,38.4,11.4,,"",0,0,0,,0,0,,,,,,,,,443.8000,237.4900,"01/02/2003","01/06/2004"
"3440-1","Sports","Basketball",2003,"NBA Jam Session Co-Pack",2,70,,20,,,,673419020626,26.5,20.5,20,,"",0,0,0,,0,0,,,,,,,,,75.0000,37.6700,"01/01/2003","31/12/2003"
"3500-1","Sports","Basketball",2003,"Kobe Bryant",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.9500,75.0000,"",""
"3511-1","Explore","Imagination",2003,"Funny Crocodile",,16,8.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.2500,16.1100,"",""
"3512-1","Explore","Imagination",2003,"Funny Giraffe",,21,7.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.5300,13.3800,"",""
"3513-1","Explore","Imagination",2003,"Funny Lion",,23,8.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.4200,10.9400,"",""
"3514-1","Explore","Imagination",2003,"Rhino and Lion",,30,12.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7700,,"",""
"3515-1","Explore","Imagination",2003,"African Adventures",,52,19.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,67.9800,,"",""
"3517-1","Explore","Imagination",2003,"Blue Deer",,10,2.99,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.3600,4.5400,"",""
"3518-1","Explore","Imagination",2003,"Yellow Duck",,11,2.99,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.4100,,"",""
"3519-1","Explore","Imagination",2003,"Green Parrot",,10,2.99,3.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.9900,,"",""
"3529-1","Sports","Basketball",2003,"Pau Gasol",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.6200,8.6600,"",""
"3530-1","Sports","Basketball",2003,"Tony Parker",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.6300,,"",""
"3535-1","Sports","Gravity Games",2003,"Skateboard Street Park",1,69,7.99,10,,,,673419018838,14.4,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,36.6800,17.6300,"01/08/2003","30/06/2004"
"3536-1","Sports","Gravity Games",2003,"Snowboard Big Air Comp",1,82,9.99,15,,,5702014266056,,19.2,19.2,9.6,,"",0,0,0,,0,0,,,,,,,,,99.2800,26.5100,"01/08/2003","31/12/2004"
"3537-1","Sports","Gravity Games",2003,"Skateboard Vert Park Challenge",2,88,14.99,20,,,,673419018852,28.8,19.2,7.2,,"",0,0,0,,0,0,,,,,,,,,39.9400,38.1000,"01/08/2003","31/12/2004"
"3538-1","Sports","Gravity Games",2003,"Snowboard Boarder Cross Race",2,195,19.99,30,,,,673419018869,38.4,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,79.0000,38.5000,"01/08/2003","31/12/2004"
"3540-1","Sports","Hockey",2003,"Puck Passer",,44,4.99,8,,,5702014265967,,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,22.3300,9.7100,"01/04/2003","31/12/2004"
"3541-1","Sports","Hockey",2003,"Slap Shot",,45,4.99,8,,,,673419018777,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,5.9900,5.8500,"01/04/2003","31/12/2004"
"3542-1","Sports","Hockey",2003,"Flip Shot",,46,4.99,8,,,5702014265981,673419018784,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,15.3900,6.2200,"01/04/2003","31/12/2004"
"3543-1","Sports","Hockey",2003,"Slammer Goalie",,45,4.99,8,,,5702014265998,673419018791,8.8,18.4,8.8,,"",0,0,0,,0,0,,,,,,,,,11.9200,5.6500,"01/04/2003","31/12/2004"
"3544-1","Sports","Hockey",2003,"Game Set",,154,14.99,15,,,5702014266001,,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,21.1900,13.0000,"01/04/2003","31/12/2004"
"3545-1","Sports","Hockey",2003,"Puck Feeder",,152,14.99,,,,5702014266018,673419018814,28.8,19.2,7.2,,"",0,0,0,,0,0,,,,,,,,,23.7600,14.7300,"01/04/2003","31/12/2003"
"3548-1","Sports","Basketball",2003,"Slam Dunk Trainer",1,19,1.99,4,,,5702014265233,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,15.0000,10.8900,"15/03/2003","31/12/2003"
"3548-2","Sports","Basketball",2003,"Slam Dunk Trainer (Kabaya Co-Pack)",1,19,,,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,,,"15/03/2003","31/12/2003"
"3549-1","Sports","Basketball",2003,"Practice Shooting",1,17,1.99,4,,,5702014265240,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,15.1200,9.4800,"15/03/2003","31/12/2003"
"3549-2","Sports","Basketball",2003,"Practice Shooting (Kabaya Co-Pack)",1,17,,,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,,,"15/03/2003","31/12/2003"
"3550-1","Sports","Basketball",2003,"Jump and Shoot",1,17,1.99,4,,,,673419018500,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,15.2100,9.1100,"15/03/2003","31/12/2003"
"3550-2","Sports","Basketball",2003,"Jump and Shoot (Kabaya Co-Pack)",1,17,,,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,,,"15/03/2003","31/12/2003"
"3557-1","Sports","Hockey",2003,"Blue Player and Goal",,33,1.99,4,,,5702014266346,673419019019,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,3.8500,1.7100,"15/09/2003","31/12/2003"
"3558-1","Sports","Hockey",2003,"Red Player and Goal",,33,1.99,4,,,,673419019026,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,2.2000,2.7400,"15/09/2003","31/12/2003"
"3559-1","Sports","Hockey",2003,"Red and Blue Player",,40,1.99,4,,,5702014266360,673419019033,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,5.0000,3.4100,"15/09/2003","31/12/2003"
"3560-1","Sports","Basketball",2003,"NBA Collectors #1",3,12,4.99,8,,,5702014265134,673419018401,,,,,"",0,0,0,,0,0,,,,,,,,,23.8900,15.0000,"",""
"3561-1","Sports","Basketball",2003,"NBA Collectors #2",3,12,4.99,8,,,5702014265141,673419018418,,,,,"",0,0,0,,0,0,,,,,,,,,33.4100,21.9600,"",""
"3562-1","Sports","Basketball",2003,"NBA Collectors #3",3,13,4.99,8,,,5702014265158,673419018425,,,,,"",0,0,0,,0,0,,,,,,,,,34.5200,18.0000,"",""
"3563-1","Sports","Basketball",2003,"NBA Collectors #4",3,12,4.99,8,,,5702014265165,,,,,,"",0,0,0,,0,0,,,,,,,,,55.2400,52.0000,"",""
