Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1200-1","System","Town Plan",1955,"LEGO Town Plan Board, Large Plastic",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,201.0800,"",""
"1210-2","System","Town Plan",1955,"Small Store Set",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1211-2","System","Town Plan",1955,"Small House Set",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1212-2","System","Town Plan",1955,"Small House - Left Set",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1213-2","System","Town Plan",1955,"Small House - Right Set",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1214-2","System","Supplemental",1955,"Windows and Doors",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1215-2","System","Supplemental",1955,"2 x 8 & 2 x 10 Bricks",,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1216-2","System","Supplemental",1955,"4 x 4 Corner Bricks",,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1217-2","System","Supplemental",1955,"2 x 4 Bricks",,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1218-2","System","Supplemental",1955,"2 x 3 Bricks",,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1219-2","System","Supplemental",1955,"2 x 2 Bricks",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1220-2","System","Supplemental",1955,"1 x 2 Bricks",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1221-2","System","Supplemental",1955,"1 x 1 Bricks",,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1222-2","System","Supplemental",1955,"1 x 1 Round Bricks",,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1223-2","System","Supplemental",1955,"2 x 2 & 2 x 4 Curved Bricks",,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1224-2","System","Supplemental",1955,"8 Named Beams",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,97.2000,"",""
"1225-2","System","Supplemental",1955,"Mixed Plates Parts Pack",,6,,,,,,,6.35,8.5725,2.54,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1230-2","System","Supplemental",1955,"Windows and Door without Glass",,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,73.6500,"",""
"1235-2","System","Supplemental",1955,"Garage Plate and Door",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1236-2","System","Town Plan",1955,"Garage",,59,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1237-2","System","Town Plan",1955,"Service Station",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1240-2","System","Supplemental",1955,"8 Road Signs",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1241-2","System","Supplemental",1955,"8 Road Signs",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1247-2","System","Supplemental",1955,"Esso Pumps/Sign",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1248-2","System","Supplemental",1955,"Painted Trees and Bushes",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1250-2","System","HO 1:87 Vehicles",1955,"1:87 Esso Bedford Tanker",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1251-2","System","HO 1:87 Vehicles",1955,"1:87 Esso Bedford Truck",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1252-2","System","HO 1:87 Vehicles",1955,"1:87 Esso Bedford Trailer",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1253-2","System","HO 1:87 Vehicles",1955,"1:87 Bedford Flatbed Truck",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1254-2","System","HO 1:87 Vehicles",1955,"1:87 Bedford Flatbed Trailer",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1255-2","System","HO 1:87 Vehicles",1955,"1:87 Bedford Fire Engine",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1256-2","System","HO 1:87 Vehicles",1955,"1:87 Bedford Tow Truck",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,122.6800,"",""
"1257-2","System","HO 1:87 Vehicles",1955,"1:87 Bedford Delivery Truck",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1300-1","System","Mosaic",1955,"Lego Mosaik Set (Small)",,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
