Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10270-1","Creator Expert","Modular Buildings Collection",2020,"Bookshop",5,2504,169.99,199.99,249.99,199.99,5702016667974,673419322034,57.8,37.3,10.2,2.946,"",0,0,0,,0,0,,,,,,,,,157.6500,148.4900,"01/01/2020","31/12/2023"
"10271-1","Creator Expert","Vehicles",2020,"Fiat 500",,960,69.99,89.99,129.99,79.99,5702016667981,,47.8,28,7,1.107,"",0,0,0,,0,0,,,,,,,,,86.9600,68.1000,"01/03/2020","31/12/2022"
"10272-1","Creator Expert","Stadiums",2020,"Old Trafford - Manchester United",,3898,244.99,299.99,349.99,279.99,5702016667998,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,303.7100,211.2900,"01/02/2020","31/12/2022"
"10273-1","Icons","Fairground Collection",2020,"Haunted House",10,3231,259.99,299.99,379.99,299.99,5702016668001,673419322171,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,233.0200,193.7400,"01/06/2020","31/12/2023"
"10274-1","Icons","Vehicles",2020,"Ghostbusters ECTO-1",,2352,209.99,239.99,299.99,239.99,5702016668018,673419322188,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,163.9700,134.1000,"15/11/2020","31/12/2024"
"10275-1","Icons","Winter Village Collection",2020,"Elf Club House",4,1197,79.99,99.99,139.99,89.99,5702016668025,,47.6,28,7.2,1.324,"",0,0,0,,0,0,,,,,,,,,94.8800,84.8700,"01/10/2020","31/12/2022"
"10276-1","Icons","Landmarks",2020,"Colosseum",,9036,474.99,549.99,649.99,549.99,5702016668032,673419322201,53.5,48.4,28.4,,"",0,0,0,,0,0,,,,,,,,,517.3700,422.0300,"27/11/2020","31/12/2023"
"10277-1","Icons","Trains",2020,"Crocodile Locomotive",2,1271,89.99,99.99,149.99,99.99,5702016757460,,53.6,27.8,8.7,1.54,"",0,0,0,,0,0,,,,,,,,,122.3400,110.3300,"01/07/2020","31/12/2021"
"10909-1","Duplo","",2020,"Heart Box",,80,17.99,19.99,24.99,19.99,5702016617733,673419318808,28.2,26.2,11.8,0.94,"",0,0,0,,0,0,,,,,,,,,11.4900,,"01/01/2020","31/12/2022"
"10913-1","Duplo","",2020,"Brick Box",2,65,24.99,29.99,39.99,29.99,5702016617740,673419318815,37,18,18,1.01,"",0,0,0,,0,0,,,,,,,,,20.3100,,"01/01/2020","31/12/2027"
"10914-1","Duplo","",2020,"Deluxe Brick Box",2,85,44.99,49.99,69.99,49.99,5702016617757,673419318822,37,26.2,18,1.42,"",0,0,0,,0,0,,,,,,,,,39.4800,,"01/01/2020","31/12/2027"
